verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Donna asks: Did Nicholas acknowledge that Mary is pregnant? Question: Does Donna believe that Mary isn't pregnant?,Donna asks: Did Nicholas acknowledge that Mary is pregnant?,Does Donna believe that Mary is pregnant?,Does Donna believe that Mary isn't pregnant?,0.00,-1.0697422560932,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.8160932e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.8160932e-06), TopLogprob(token='1', bytes=[49], logprob=-12.875003), TopLogprob(token=' ', bytes=[32], logprob=-15.625003), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.500002), TopLogprob(token='-', bytes=[45], logprob=-17.625002)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.10023234, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.10023234), TopLogprob(token='<|end|>', bytes=None, logprob=-2.3502324), TopLogprob(token='<|end|>', bytes=None, logprob=-10.850232), TopLogprob(token='\n', bytes=[10], logprob=-13.350232), TopLogprob(token='<|end|>', bytes=None, logprob=-13.350232)]), ChatCompletionTokenLogprob(token='00', bytes=[48, 48], logprob=-0.9695071, top_logprobs=[TopLogprob(token='00', bytes=[48, 48], logprob=-0.9695071), TopLogprob(token='01', bytes=[48, 49], logprob=-1.2195071), TopLogprob(token='05', bytes=[48, 53], logprob=-2.4695072), TopLogprob(token='02', bytes=[48, 50], logprob=-2.4695072), TopLogprob(token='<|end|>', bytes=None, logprob=-2.7195072)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Paul asks: Did Melissa admit that Mary is pregnant? Question: Does Paul believe that Mary isn't pregnant?,Paul asks: Did Melissa admit that Mary is pregnant?,Does Paul believe that Mary is pregnant?,Does Paul believe that Mary isn't pregnant?,0.10,-0.7619690691000001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-6.80205e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-6.80205e-05), TopLogprob(token='1', bytes=[49], logprob=-9.625068), TopLogprob(token=' ', bytes=[32], logprob=-13.875068), TopLogprob(token='-', bytes=[45], logprob=-15.750068), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.875068)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0052384986, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0052384986), TopLogprob(token='<|end|>', bytes=None, logprob=-5.2552385), TopLogprob(token='<|end|>', bytes=None, logprob=-12.505239), TopLogprob(token='\n', bytes=[10], logprob=-15.130239), TopLogprob(token='<|end|>', bytes=None, logprob=-15.630239)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-0.75666255, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-0.75666255), TopLogprob(token='20', bytes=[50, 48], logprob=-1.7566626), TopLogprob(token='15', bytes=[49, 53], logprob=-2.0066626), TopLogprob(token='05', bytes=[48, 53], logprob=-2.7566626), TopLogprob(token='1', bytes=[49], logprob=-3.1316626)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Ronald announce that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Ronald announce that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?,0.10,-1.281982824618,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.6418418e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.6418418e-05), TopLogprob(token='1', bytes=[49], logprob=-10.625027), TopLogprob(token=' ', bytes=[32], logprob=-13.750027), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-15.375027), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.625027)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0052379062, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0052379062), TopLogprob(token='<|end|>', bytes=None, logprob=-5.255238), TopLogprob(token='<|end|>', bytes=None, logprob=-12.755238), TopLogprob(token='\n', bytes=[10], logprob=-14.755238), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-15.755238)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.2767185, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.2767185), TopLogprob(token='20', bytes=[50, 48], logprob=-1.5267185), TopLogprob(token='15', bytes=[49, 53], logprob=-1.5267185), TopLogprob(token='2', bytes=[50], logprob=-1.9017185), TopLogprob(token='1', bytes=[49], logprob=-2.7767186)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Emily annoyed that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Is Emily annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?,0.05,-1.376965070836,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-5.3000836e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-5.3000836e-05), TopLogprob(token='1', bytes=[49], logprob=-9.875053), TopLogprob(token=' ', bytes=[32], logprob=-14.625053), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-16.000053), TopLogprob(token='০', bytes=[224, 167, 166], logprob=-16.125053)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.12695877, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.12695877), TopLogprob(token='<|end|>', bytes=None, logprob=-2.1269588), TopLogprob(token='<|end|>', bytes=None, logprob=-10.626959), TopLogprob(token='\n', bytes=[10], logprob=-12.626959), TopLogprob(token='<|end|>', bytes=None, logprob=-13.876959)]), ChatCompletionTokenLogprob(token='05', bytes=[48, 53], logprob=-1.2499533, top_logprobs=[TopLogprob(token='05', bytes=[48, 53], logprob=-1.2499533), TopLogprob(token='02', bytes=[48, 50], logprob=-1.4999533), TopLogprob(token='01', bytes=[48, 49], logprob=-1.8749533), TopLogprob(token='10', bytes=[49, 48], logprob=-2.3749533), TopLogprob(token='00', bytes=[48, 48], logprob=-2.7499533)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Sandra asks: Is Michelle right that Mary is pregnant? Question: Does Sandra believe that Mary isn't pregnant?,Sandra asks: Is Michelle right that Mary is pregnant?,Does Sandra believe that Mary is pregnant?,Does Sandra believe that Mary isn't pregnant?,0.20,-0.93900142831,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.640531e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-1.640531e-05), TopLogprob(token='1', bytes=[49], logprob=-11.125016), TopLogprob(token=' ', bytes=[32], logprob=-13.875016), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.500017), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-16.500017)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.014174323, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.014174323), TopLogprob(token='<|end|>', bytes=None, logprob=-4.2641745), TopLogprob(token='<|end|>', bytes=None, logprob=-11.764174), TopLogprob(token='<|end|>', bytes=None, logprob=-13.764174), TopLogprob(token='\n', bytes=[10], logprob=-14.514174)]), ChatCompletionTokenLogprob(token='20', bytes=[50, 48], logprob=-0.9248107, top_logprobs=[TopLogprob(token='20', bytes=[50, 48], logprob=-0.9248107), TopLogprob(token='10', bytes=[49, 48], logprob=-1.5498106), TopLogprob(token='2', bytes=[50], logprob=-2.0498106), TopLogprob(token='15', bytes=[49, 53], logprob=-2.2998106), TopLogprob(token='30', bytes=[51, 48], logprob=-2.6748106)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Amanda confess that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Amanda confess that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?,0.10,-0.775965957304,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.2153304e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-4.2153304e-05), TopLogprob(token='1', bytes=[49], logprob=-10.125042), TopLogprob(token=' ', bytes=[32], logprob=-13.875042), TopLogprob(token='-', bytes=[45], logprob=-15.750042), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-15.875042)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.078910604, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.078910604), TopLogprob(token='<|end|>', bytes=None, logprob=-2.5789106), TopLogprob(token='<|end|>', bytes=None, logprob=-11.078911), TopLogprob(token='\n', bytes=[10], logprob=-13.328911), TopLogprob(token='<|end|>', bytes=None, logprob=-13.578911)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-0.6970132, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-0.6970132), TopLogprob(token='15', bytes=[49, 53], logprob=-1.8220131), TopLogprob(token='20', bytes=[50, 48], logprob=-2.1970131), TopLogprob(token='05', bytes=[48, 53], logprob=-2.5720131), TopLogprob(token='1', bytes=[49], logprob=-3.1970131)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Jason confirm that Mary is pregnant? Question: Does Kathleen believe that Mary isn't pregnant?,Kathleen asks: Did Jason confirm that Mary is pregnant?,Does Kathleen believe that Mary is pregnant?,Does Kathleen believe that Mary isn't pregnant?,0.20,-1.07251232001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.618001e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.618001e-05), TopLogprob(token='1', bytes=[49], logprob=-10.625026), TopLogprob(token=' ', bytes=[32], logprob=-14.000026), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.125026), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-16.375027)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00862474, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00862474), TopLogprob(token='<|end|>', bytes=None, logprob=-4.7586246), TopLogprob(token='<|end|>', bytes=None, logprob=-11.758625), TopLogprob(token='\n', bytes=[10], logprob=-14.508625), TopLogprob(token='<|end|>', bytes=None, logprob=-14.508625)]), ChatCompletionTokenLogprob(token='20', bytes=[50, 48], logprob=-1.0638614, top_logprobs=[TopLogprob(token='20', bytes=[50, 48], logprob=-1.0638614), TopLogprob(token='10', bytes=[49, 48], logprob=-1.1888614), TopLogprob(token='15', bytes=[49, 53], logprob=-2.0638614), TopLogprob(token='2', bytes=[50], logprob=-2.4388614), TopLogprob(token='30', bytes=[51, 48], logprob=-3.0638614)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jacob demonstrate that Mary is pregnant? Question: Does Tyler believe that Mary isn't pregnant?,Tyler asks: Did Jacob demonstrate that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary isn't pregnant?,0.85,-1.811125657,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.014166681, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.014166681), TopLogprob(token='1', bytes=[49], logprob=-4.264167), TopLogprob(token=' ', bytes=[32], logprob=-13.764167), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.264167), TopLogprob(token='০', bytes=[224, 167, 166], logprob=-15.639167)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.005238976, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.005238976), TopLogprob(token='<|end|>', bytes=None, logprob=-5.255239), TopLogprob(token='<|end|>', bytes=None, logprob=-12.505239), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-15.005239), TopLogprob(token='\n', bytes=[10], logprob=-15.130239)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.79172, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-1.79172), TopLogprob(token='90', bytes=[57, 48], logprob=-2.41672), TopLogprob(token='95', bytes=[57, 53], logprob=-2.54172), TopLogprob(token='2', bytes=[50], logprob=-2.66672), TopLogprob(token='15', bytes=[49, 53], logprob=-2.66672)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Stephanie discover that Mary is pregnant? Question: Does Scott believe that Mary isn't pregnant?,Scott asks: Did Stephanie discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary isn't pregnant?,0.05,-0.874143267688,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.2127088e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.2127088e-05), TopLogprob(token='1', bytes=[49], logprob=-10.750022), TopLogprob(token=' ', bytes=[32], logprob=-15.000022), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-16.500023), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-17.000023)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0067209406, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0067209406), TopLogprob(token='<|end|>', bytes=None, logprob=-5.006721), TopLogprob(token='<|end|>', bytes=None, logprob=-12.256721), TopLogprob(token='\n', bytes=[10], logprob=-15.506721), TopLogprob(token='<|end|>', bytes=None, logprob=-15.881721)]), ChatCompletionTokenLogprob(token='05', bytes=[48, 53], logprob=-0.8674002, top_logprobs=[TopLogprob(token='05', bytes=[48, 53], logprob=-0.8674002), TopLogprob(token='10', bytes=[49, 48], logprob=-1.4924002), TopLogprob(token='02', bytes=[48, 50], logprob=-2.1174002), TopLogprob(token='01', bytes=[48, 49], logprob=-2.4924002), TopLogprob(token='00', bytes=[48, 48], logprob=-3.3674002)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy establish that Mary is pregnant? Question: Does Betty believe that Mary isn't pregnant?,Betty asks: Did Timothy establish that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary isn't pregnant?,0.85,-1.67807959,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.002480531, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.002480531), TopLogprob(token='1', bytes=[49], logprob=-6.0024805), TopLogprob(token=' ', bytes=[32], logprob=-13.2524805), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.0024805), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-15.5024805)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.008619659, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.008619659), TopLogprob(token='<|end|>', bytes=None, logprob=-4.75862), TopLogprob(token='<|end|>', bytes=None, logprob=-12.508619), TopLogprob(token='<|end|>', bytes=None, logprob=-15.133619), TopLogprob(token='\n', bytes=[10], logprob=-15.258619)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.6669794, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-1.6669794), TopLogprob(token='80', bytes=[56, 48], logprob=-2.0419793), TopLogprob(token='90', bytes=[57, 48], logprob=-2.0419793), TopLogprob(token='8', bytes=[56], logprob=-2.5419793), TopLogprob(token='20', bytes=[50, 48], logprob=-2.6669793)])]"
