verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,distribution,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Did Ryan acknowledge that Mary is pregnant? Question: Does Daniel believe that Mary is pregnant?,Daniel asks: Did Ryan acknowledge that Mary is pregnant?,Does Daniel believe that Mary is pregnant?,Does Daniel believe that Mary is not pregnant?,1,-0.14267732,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.14267732, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.14267732), TopLogprob(token='0', bytes=[48], logprob=-2.0176773), TopLogprob(token=' ', bytes=[32], logprob=-13.892677), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-14.767677), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.767677)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Laura admit that Mary is pregnant? Question: Does Cynthia believe that Mary is pregnant?,Cynthia asks: Did Laura admit that Mary is pregnant?,Does Cynthia believe that Mary is pregnant?,Does Cynthia believe that Mary is not pregnant?,0.85,-0.112829655,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.112829655, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.112829655), TopLogprob(token='1', bytes=[49], logprob=-2.2378297), TopLogprob(token=' ', bytes=[32], logprob=-13.112829), TopLogprob(token='-', bytes=[45], logprob=-14.612829), TopLogprob(token='<|end|>', bytes=None, logprob=-14.612829)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.2001665e-06, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-5.2001665e-06), TopLogprob(token='<|end|>', bytes=None, logprob=-12.250005), TopLogprob(token=',', bytes=[44], logprob=-15.500005), TopLogprob(token=':', bytes=[58], logprob=-17.000006), TopLogprob(token='..', bytes=[46, 46], logprob=-18.000006)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.0172796, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-1.0172796), TopLogprob(token='95', bytes=[57, 53], logprob=-1.5172796), TopLogprob(token='90', bytes=[57, 48], logprob=-1.7672796), TopLogprob(token='9', bytes=[57], logprob=-2.2672796), TopLogprob(token='80', bytes=[56, 48], logprob=-3.0172796)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Brian asks: Did Jeffrey announce that Mary is pregnant? Question: Does Brian believe that Mary is pregnant?,Brian asks: Did Jeffrey announce that Mary is pregnant?,Does Brian believe that Mary is pregnant?,Does Brian believe that Mary is not pregnant?,0.85,-0.018153219,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.018153219, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.018153219), TopLogprob(token='1', bytes=[49], logprob=-4.018153), TopLogprob(token=' ', bytes=[32], logprob=-13.393153), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.018153), TopLogprob(token='০', bytes=[224, 167, 166], logprob=-15.768153)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-8.418666e-06, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-8.418666e-06), TopLogprob(token='<|end|>', bytes=None, logprob=-11.750009), TopLogprob(token=',', bytes=[44], logprob=-14.750009), TopLogprob(token='<|end|>', bytes=None, logprob=-17.500008), TopLogprob(token=':', bytes=[58], logprob=-17.625008)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-0.79885936, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-0.79885936), TopLogprob(token='8', bytes=[56], logprob=-2.0488594), TopLogprob(token='9', bytes=[57], logprob=-2.0488594), TopLogprob(token='95', bytes=[57, 53], logprob=-2.2988594), TopLogprob(token='90', bytes=[57, 48], logprob=-2.6738594)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Jason annoyed that Mary is pregnant? Question: Does Kevin believe that Mary is pregnant?,Kevin asks: Is Jason annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary is not pregnant?,1.00,-0.22541653,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.22541653, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.22541653), TopLogprob(token='0', bytes=[48], logprob=-1.6004165), TopLogprob(token=' ', bytes=[32], logprob=-13.225416), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-15.350416), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-15.600416)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.25198412, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.25198412), TopLogprob(token='<|end|>', bytes=None, logprob=-1.5019841), TopLogprob(token='<|end|>', bytes=None, logprob=-10.251984), TopLogprob(token='<|end|>', bytes=None, logprob=-11.501984), TopLogprob(token='\n', bytes=[10], logprob=-12.001984)]), ChatCompletionTokenLogprob(token='00', bytes=[48, 48], logprob=-0.033727415, top_logprobs=[TopLogprob(token='00', bytes=[48, 48], logprob=-0.033727415), TopLogprob(token='0', bytes=[48], logprob=-3.5337274), TopLogprob(token='<|end|>', bytes=None, logprob=-5.5337276), TopLogprob(token=' ', bytes=[32], logprob=-11.283728), TopLogprob(token='<|end|>', bytes=None, logprob=-13.033728)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Is Ronald right that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Is Ronald right that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?,0.75,-0.0019312551,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0019312551, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0019312551), TopLogprob(token='1', bytes=[49], logprob=-6.251931), TopLogprob(token=' ', bytes=[32], logprob=-13.626931), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-14.876931), TopLogprob(token='```', bytes=[96, 96, 96], logprob=-15.626931)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.3544423e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-1.3544423e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-11.250013), TopLogprob(token=',', bytes=[44], logprob=-15.500013), TopLogprob(token='..', bytes=[46, 46], logprob=-17.000013), TopLogprob(token='<|end|>', bytes=None, logprob=-17.125013)]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-1.0388, top_logprobs=[TopLogprob(token='75', bytes=[55, 53], logprob=-1.0388), TopLogprob(token='85', bytes=[56, 53], logprob=-1.5388), TopLogprob(token='8', bytes=[56], logprob=-2.2888), TopLogprob(token='80', bytes=[56, 48], logprob=-2.5388), TopLogprob(token='7', bytes=[55], logprob=-2.7888)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jeffrey confess that Mary is pregnant? Question: Does Tyler believe that Mary is pregnant?,Tyler asks: Did Jeffrey confess that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary is not pregnant?,0.85,-0.16022982,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.16022982, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.16022982), TopLogprob(token='1', bytes=[49], logprob=-1.9102298), TopLogprob(token=' ', bytes=[32], logprob=-12.91023), TopLogprob(token='০', bytes=[224, 167, 166], logprob=-15.16023), TopLogprob(token='-', bytes=[45], logprob=-15.28523)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.378283e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-1.378283e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-11.250013), TopLogprob(token=',', bytes=[44], logprob=-14.750013), TopLogprob(token='<|end|>', bytes=None, logprob=-16.875013), TopLogprob(token='।', bytes=[224, 165, 164], logprob=-17.250013)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-0.8423053, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-0.8423053), TopLogprob(token='95', bytes=[57, 53], logprob=-1.5923053), TopLogprob(token='90', bytes=[57, 48], logprob=-1.8423053), TopLogprob(token='9', bytes=[57], logprob=-2.3423052), TopLogprob(token='80', bytes=[56, 48], logprob=-3.3423052)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: George asks: Did Stephanie confirm that Mary is pregnant? Question: Does George believe that Mary is pregnant?,George asks: Did Stephanie confirm that Mary is pregnant?,Does George believe that Mary is pregnant?,Does George believe that Mary is not pregnant?,0.85,-0.026303321,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.026303321, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.026303321), TopLogprob(token='1', bytes=[49], logprob=-3.6513033), TopLogprob(token=' ', bytes=[32], logprob=-13.651303), TopLogprob(token='০', bytes=[224, 167, 166], logprob=-15.151303), TopLogprob(token='-', bytes=[45], logprob=-15.901303)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.00813e-06, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-4.00813e-06), TopLogprob(token='<|end|>', bytes=None, logprob=-12.500004), TopLogprob(token=',', bytes=[44], logprob=-15.750004), TopLogprob(token=':', bytes=[58], logprob=-17.500004), TopLogprob(token='\u200b.', bytes=[226, 128, 139, 46], logprob=-17.500004)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.2201431, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-1.2201431), TopLogprob(token='75', bytes=[55, 53], logprob=-1.4701431), TopLogprob(token='8', bytes=[56], logprob=-1.9701431), TopLogprob(token='80', bytes=[56, 48], logprob=-1.9701431), TopLogprob(token='90', bytes=[57, 48], logprob=-3.095143)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy demonstrate that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Did Timothy demonstrate that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?,0.8,-0.012523903,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.012523903, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.012523903), TopLogprob(token='1', bytes=[49], logprob=-4.387524), TopLogprob(token=' ', bytes=[32], logprob=-12.262524), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-13.137524), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-14.012524)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00012403888, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00012403888), TopLogprob(token='<|end|>', bytes=None, logprob=-9.000124), TopLogprob(token=',', bytes=[44], logprob=-15.125124), TopLogprob(token='<|end|>', bytes=None, logprob=-15.375124), TopLogprob(token=':', bytes=[58], logprob=-17.000124)]), ChatCompletionTokenLogprob(token='8', bytes=[56], logprob=-1.7616239, top_logprobs=[TopLogprob(token='8', bytes=[56], logprob=-1.7616239), TopLogprob(token='85', bytes=[56, 53], logprob=-1.8866239), TopLogprob(token='75', bytes=[55, 53], logprob=-2.0116239), TopLogprob(token='7', bytes=[55], logprob=-2.5116239), TopLogprob(token='2', bytes=[50], logprob=-2.7616239)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Laura discover that Mary is pregnant? Question: Does Scott believe that Mary is pregnant?,Scott asks: Did Laura discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary is not pregnant?,1.00,-0.4287043,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.4287043, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.4287043), TopLogprob(token='0', bytes=[48], logprob=-1.0537043), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-13.303704), TopLogprob(token=' ', bytes=[32], logprob=-14.178704), TopLogprob(token='-', bytes=[45], logprob=-15.178704)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.10022866, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.10022866), TopLogprob(token='<|end|>', bytes=None, logprob=-2.3502285), TopLogprob(token='<|end|>', bytes=None, logprob=-10.850228), TopLogprob(token='<|end|>', bytes=None, logprob=-13.350228), TopLogprob(token='\n', bytes=[10], logprob=-15.100228)]), ChatCompletionTokenLogprob(token='00', bytes=[48, 48], logprob=-0.020588022, top_logprobs=[TopLogprob(token='00', bytes=[48, 48], logprob=-0.020588022), TopLogprob(token='0', bytes=[48], logprob=-4.020588), TopLogprob(token='<|end|>', bytes=None, logprob=-6.020588), TopLogprob(token=' ', bytes=[32], logprob=-13.020588), TopLogprob(token='<|end|>', bytes=None, logprob=-13.020588)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Michelle establish that Mary is pregnant? Question: Does Edward believe that Mary is pregnant?,Edward asks: Did Michelle establish that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary is not pregnant?,0.2,-2.0339032e-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.0339032e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.0339032e-05), TopLogprob(token='1', bytes=[49], logprob=-10.87502), TopLogprob(token=' ', bytes=[32], logprob=-14.50002), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-16.250021), TopLogprob(token='-', bytes=[45], logprob=-16.375021)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00026276626, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00026276626), TopLogprob(token='<|end|>', bytes=None, logprob=-8.250263), TopLogprob(token='<|end|>', bytes=None, logprob=-14.500263), TopLogprob(token=',', bytes=[44], logprob=-14.625263), TopLogprob(token='<|end|>', bytes=None, logprob=-16.750263)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.0678971, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.0678971), TopLogprob(token='3', bytes=[51], logprob=-1.5678971), TopLogprob(token='20', bytes=[50, 48], logprob=-1.9428971), TopLogprob(token='30', bytes=[51, 48], logprob=-2.317897), TopLogprob(token='25', bytes=[50, 53], logprob=-2.692897)])]"
