verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Donna asks: Did Nicholas acknowledge that Mary is pregnant? Question: Does Donna believe that Mary isn't pregnant?,Donna asks: Did Nicholas acknowledge that Mary is pregnant?,Does Donna believe that Mary is pregnant?,Does Donna believe that Mary isn't pregnant?
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Paul asks: Did Melissa admit that Mary is pregnant? Question: Does Paul believe that Mary isn't pregnant?,Paul asks: Did Melissa admit that Mary is pregnant?,Does Paul believe that Mary is pregnant?,Does Paul believe that Mary isn't pregnant?
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Ronald announce that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Ronald announce that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Emily annoyed that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Is Emily annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Sandra asks: Is Michelle right that Mary is pregnant? Question: Does Sandra believe that Mary isn't pregnant?,Sandra asks: Is Michelle right that Mary is pregnant?,Does Sandra believe that Mary is pregnant?,Does Sandra believe that Mary isn't pregnant?
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Amanda confess that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Amanda confess that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Jason confirm that Mary is pregnant? Question: Does Kathleen believe that Mary isn't pregnant?,Kathleen asks: Did Jason confirm that Mary is pregnant?,Does Kathleen believe that Mary is pregnant?,Does Kathleen believe that Mary isn't pregnant?
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jacob demonstrate that Mary is pregnant? Question: Does Tyler believe that Mary isn't pregnant?,Tyler asks: Did Jacob demonstrate that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary isn't pregnant?
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Stephanie discover that Mary is pregnant? Question: Does Scott believe that Mary isn't pregnant?,Scott asks: Did Stephanie discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary isn't pregnant?
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy establish that Mary is pregnant? Question: Does Betty believe that Mary isn't pregnant?,Betty asks: Did Timothy establish that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary isn't pregnant?
hear,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Did Gary hear that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Did Gary hear that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?
inform,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Did Rebecca inform Jane that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Did Rebecca inform Jane that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?
know,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Does Laura know that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Does Laura know that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?
pretend,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Amanda pretend that Mary is pregnant? Question: Does Nancy believe that Mary isn't pregnant?,Nancy asks: Did Amanda pretend that Mary is pregnant?,Does Nancy believe that Mary is pregnant?,Does Nancy believe that Mary isn't pregnant?
prove,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Lisa asks: Did Eric prove that Mary is pregnant? Question: Does Lisa believe that Mary isn't pregnant?,Lisa asks: Did Eric prove that Mary is pregnant?,Does Lisa believe that Mary is pregnant?,Does Lisa believe that Mary isn't pregnant?
reveal,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Did Laura reveal that Mary is pregnant? Question: Does Daniel believe that Mary isn't pregnant?,Daniel asks: Did Laura reveal that Mary is pregnant?,Does Daniel believe that Mary is pregnant?,Does Daniel believe that Mary isn't pregnant?
