verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Carol acknowledge that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Carol acknowledge that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?,0.85,-1.59585863408,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0011291405, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0011291405), TopLogprob(token='1', bytes=[49], logprob=-6.82514), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.380081), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-12.421621), TopLogprob(token=' ', bytes=[32], logprob=-13.174248)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00029649358, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00029649358), TopLogprob(token='<|end|>', bytes=None, logprob=-8.129104), TopLogprob(token=' ', bytes=[32], logprob=-14.798584), TopLogprob(token='<|end|>', bytes=None, logprob=-15.0983095), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-15.184485)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.594433, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-1.594433), TopLogprob(token='90', bytes=[57, 48], logprob=-1.8501302), TopLogprob(token='80', bytes=[56, 48], logprob=-2.0721874), TopLogprob(token='95', bytes=[57, 53], logprob=-2.4011803), TopLogprob(token='75', bytes=[55, 53], logprob=-2.4534912)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Laura admit that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Laura admit that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?,0.10,-1.6611755766299998,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00055100623, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00055100623), TopLogprob(token='1', bytes=[49], logprob=-7.5346565), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-12.0208645), TopLogprob(token=' ', bytes=[32], logprob=-12.446978), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-12.557112)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0038582704, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0038582704), TopLogprob(token='<|end|>', bytes=None, logprob=-5.560947), TopLogprob(token=' ', bytes=[32], logprob=-13.075826), TopLogprob(token='\n', bytes=[10], logprob=-13.820643), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-14.077659)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.6567663, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.6567663), TopLogprob(token='20', bytes=[50, 48], logprob=-1.9606127), TopLogprob(token='85', bytes=[56, 53], logprob=-2.625774), TopLogprob(token='75', bytes=[55, 53], logprob=-2.7993808), TopLogprob(token='80', bytes=[56, 48], logprob=-2.9330668)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Emily announce that Mary is pregnant? Question: Is Scott certain that Mary is pregnant?,Scott asks: Did Emily announce that Mary is pregnant?,Is Scott certain that Mary is pregnant?,Is Scott certain that Mary isn't pregnant?,0.85,-1.7703903336,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0002632431, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0002632431), TopLogprob(token='1', bytes=[49], logprob=-8.301632), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.686243), TopLogprob(token=' ', bytes=[32], logprob=-13.312098), TopLogprob(token='I', bytes=[73], logprob=-13.843412)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0018123905, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0018123905), TopLogprob(token='<|end|>', bytes=None, logprob=-6.315993), TopLogprob(token=' ', bytes=[32], logprob=-13.698331), TopLogprob(token='\n', bytes=[10], logprob=-14.151058), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-14.359954)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.7683147, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-1.7683147), TopLogprob(token='75', bytes=[55, 53], logprob=-2.084824), TopLogprob(token='80', bytes=[56, 48], logprob=-2.5792203), TopLogprob(token='90', bytes=[57, 48], logprob=-2.5883756), TopLogprob(token='20', bytes=[50, 48], logprob=-2.7089238)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Is Michelle annoyed that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Is Michelle annoyed that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?,0.2,-1.96609789038,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00033248574, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00033248574), TopLogprob(token='1', bytes=[49], logprob=-8.147082), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.438893), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-12.141988), TopLogprob(token='I', bytes=[73], logprob=-13.586528)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00096100464, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00096100464), TopLogprob(token='<|end|>', bytes=None, logprob=-6.9513774), TopLogprob(token=' ', bytes=[32], logprob=-13.789927), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-14.097945), TopLogprob(token='\n', bytes=[10], logprob=-14.336394)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.9648044, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.9648044), TopLogprob(token='10', bytes=[49, 48], logprob=-1.9708831), TopLogprob(token='1', bytes=[49], logprob=-2.2420566), TopLogprob(token='15', bytes=[49, 53], logprob=-2.3552005), TopLogprob(token='20', bytes=[50, 48], logprob=-2.5275447)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kimberly asks: Is Gary right that Mary is pregnant? Question: Is Kimberly certain that Mary is pregnant?,Kimberly asks: Is Gary right that Mary is pregnant?,Is Kimberly certain that Mary is pregnant?,Is Kimberly certain that Mary isn't pregnant?,0.10,-1.2505861506,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0011069943, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0011069943), TopLogprob(token='1', bytes=[49], logprob=-6.854535), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.380345), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-11.793986), TopLogprob(token=' ', bytes=[32], logprob=-12.544257)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0021006563, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0021006563), TopLogprob(token='<|end|>', bytes=None, logprob=-6.1680627), TopLogprob(token=' ', bytes=[32], logprob=-13.971142), TopLogprob(token='\n', bytes=[10], logprob=-14.331033), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-14.40256)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.2473785, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.2473785), TopLogprob(token='20', bytes=[50, 48], logprob=-2.2761984), TopLogprob(token='05', bytes=[48, 53], logprob=-2.4195967), TopLogprob(token='01', bytes=[48, 49], logprob=-2.5280752), TopLogprob(token='1', bytes=[49], logprob=-2.657586)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Michelle confess that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Michelle confess that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?,0.10,-1.49073599932,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00038300612, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00038300612), TopLogprob(token='1', bytes=[49], logprob=-7.932014), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.176968), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-12.46871), TopLogprob(token=' ', bytes=[32], logprob=-13.458258)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0031377932, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0031377932), TopLogprob(token='<|end|>', bytes=None, logprob=-5.7670994), TopLogprob(token=' ', bytes=[32], logprob=-13.643827), TopLogprob(token='\n', bytes=[10], logprob=-13.998191), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-14.063337)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.4872152, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.4872152), TopLogprob(token='20', bytes=[50, 48], logprob=-1.8796102), TopLogprob(token='15', bytes=[49, 53], logprob=-2.4808025), TopLogprob(token='05', bytes=[48, 53], logprob=-2.6815777), TopLogprob(token='2', bytes=[50], logprob=-2.72686)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Ryan confirm that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Ryan confirm that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?,0.10,-1.27647334009,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00022892709, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00022892709), TopLogprob(token='1', bytes=[49], logprob=-8.474859), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.238726), TopLogprob(token=' ', bytes=[32], logprob=-13.003927), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-13.600538)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.013032813, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.013032813), TopLogprob(token='<|end|>', bytes=None, logprob=-4.3475475), TopLogprob(token=' ', bytes=[32], logprob=-12.4267845), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-13.12696), TopLogprob(token='\n', bytes=[10], logprob=-13.651212)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.2632116, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.2632116), TopLogprob(token='20', bytes=[50, 48], logprob=-2.1423469), TopLogprob(token='00', bytes=[48, 48], logprob=-2.5429988), TopLogprob(token='01', bytes=[48, 49], logprob=-2.5861144), TopLogprob(token='1', bytes=[49], logprob=-2.7298484)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kenneth asks: Did Deborah demonstrate that Mary is pregnant? Question: Is Kenneth certain that Mary is pregnant?,Kenneth asks: Did Deborah demonstrate that Mary is pregnant?,Is Kenneth certain that Mary is pregnant?,Is Kenneth certain that Mary isn't pregnant?,0.10,-1.34744059514,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00015717384, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00015717384), TopLogprob(token='1', bytes=[49], logprob=-8.845489), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.60179), TopLogprob(token='I', bytes=[73], logprob=-14.193746), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-14.207156)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0012870213, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0012870213), TopLogprob(token='<|end|>', bytes=None, logprob=-6.6583686), TopLogprob(token=' ', bytes=[32], logprob=-13.948128), TopLogprob(token='<|end|>', bytes=None, logprob=-14.337947), TopLogprob(token='\n', bytes=[10], logprob=-14.554167)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.3459964, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.3459964), TopLogprob(token='20', bytes=[50, 48], logprob=-2.1290183), TopLogprob(token='05', bytes=[48, 53], logprob=-2.7054038), TopLogprob(token='2', bytes=[50], logprob=-2.7790542), TopLogprob(token='15', bytes=[49, 53], logprob=-2.7984214)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Did Jeffrey discover that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Did Jeffrey discover that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?,0.10,-1.6429387413,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0001592003, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0001592003), TopLogprob(token='1', bytes=[49], logprob=-8.855752), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.497222), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-13.395772), TopLogprob(token=' ', bytes=[32], logprob=-13.747083)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.002677441, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.002677441), TopLogprob(token='<|end|>', bytes=None, logprob=-5.925485), TopLogprob(token=' ', bytes=[32], logprob=-13.502838), TopLogprob(token=',', bytes=[44], logprob=-14.541093), TopLogprob(token='<|end|>', bytes=None, logprob=-14.6359)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.6401021, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.6401021), TopLogprob(token='20', bytes=[50, 48], logprob=-2.0238073), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6283128), TopLogprob(token='15', bytes=[49, 53], logprob=-2.6507204), TopLogprob(token='05', bytes=[48, 53], logprob=-3.0423715)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Lisa asks: Did Laura establish that Mary is pregnant? Question: Is Lisa certain that Mary is pregnant?,Lisa asks: Did Laura establish that Mary is pregnant?,Is Lisa certain that Mary is pregnant?,Is Lisa certain that Mary isn't pregnant?,0.10,-1.69604737966,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00016766376, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00016766376), TopLogprob(token='1', bytes=[49], logprob=-8.811056), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.235912), TopLogprob(token=' ', bytes=[32], logprob=-13.761969), TopLogprob(token='I', bytes=[73], logprob=-13.837006)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0019097159, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0019097159), TopLogprob(token='<|end|>', bytes=None, logprob=-6.2636075), TopLogprob(token=' ', bytes=[32], logprob=-13.766042), TopLogprob(token='<|end|>', bytes=None, logprob=-14.388917), TopLogprob(token='\n', bytes=[10], logprob=-14.461462)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.69397, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.69397), TopLogprob(token='20', bytes=[50, 48], logprob=-2.2914107), TopLogprob(token='85', bytes=[56, 53], logprob=-2.4287417), TopLogprob(token='01', bytes=[48, 49], logprob=-2.6509078), TopLogprob(token='15', bytes=[49, 53], logprob=-2.7955687)])]"
