verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Donna asks: Did Nicholas acknowledge that Mary is pregnant? Question: Does Donna believe that Mary isn't pregnant?,Donna asks: Did Nicholas acknowledge that Mary is pregnant?,Does Donna believe that Mary is pregnant?,Does Donna believe that Mary isn't pregnant?,0.95,-1.2269895028000002,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.001421307, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.001421307), TopLogprob(token='1', bytes=[49], logprob=-6.675654), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.880615), TopLogprob(token=' ', bytes=[32], logprob=-11.965527), TopLogprob(token='I', bytes=[73], logprob=-12.193098)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0005639958, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0005639958), TopLogprob(token='<|end|>', bytes=None, logprob=-7.4885764), TopLogprob(token='<|end|>', bytes=None, logprob=-13.898446), TopLogprob(token=' ', bytes=[32], logprob=-14.030852), TopLogprob(token='\n', bytes=[10], logprob=-14.090862)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.2250042, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.2250042), TopLogprob(token='01', bytes=[48, 49], logprob=-2.2544022), TopLogprob(token='90', bytes=[57, 48], logprob=-2.311018), TopLogprob(token='99', bytes=[57, 57], logprob=-2.3986855), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6303406)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Paul asks: Did Melissa admit that Mary is pregnant? Question: Does Paul believe that Mary isn't pregnant?,Paul asks: Did Melissa admit that Mary is pregnant?,Does Paul believe that Mary is pregnant?,Does Paul believe that Mary isn't pregnant?,0.95,-1.72468467841,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00060772157, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00060772157), TopLogprob(token='1', bytes=[49], logprob=-7.6930857), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.951381), TopLogprob(token='I', bytes=[73], logprob=-11.54338), TopLogprob(token=' ', bytes=[32], logprob=-12.796016)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00023345684, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00023345684), TopLogprob(token='<|end|>', bytes=None, logprob=-8.37404), TopLogprob(token='\n', bytes=[10], logprob=-14.442631), TopLogprob(token=' ', bytes=[32], logprob=-14.4654255), TopLogprob(token=',', bytes=[44], logprob=-14.626471)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.7238435, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.7238435), TopLogprob(token='01', bytes=[48, 49], logprob=-1.9263905), TopLogprob(token='90', bytes=[57, 48], logprob=-2.4503527), TopLogprob(token='10', bytes=[49, 48], logprob=-2.573121), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6141405)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Ronald announce that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Ronald announce that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?,0.01,-1.70906101515,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0008398808, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0008398808), TopLogprob(token='1', bytes=[49], logprob=-7.199101), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.412616), TopLogprob(token=' ', bytes=[32], logprob=-12.719823), TopLogprob(token='I', bytes=[73], logprob=-13.031741)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00023083435, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00023083435), TopLogprob(token='<|end|>', bytes=None, logprob=-8.385347), TopLogprob(token=',', bytes=[44], logprob=-14.35081), TopLogprob(token=' ', bytes=[32], logprob=-14.623337), TopLogprob(token='\n', bytes=[10], logprob=-14.641657)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-1.7079903, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-1.7079903), TopLogprob(token='95', bytes=[57, 53], logprob=-1.8158814), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6636157), TopLogprob(token='99', bytes=[57, 57], logprob=-2.7404265), TopLogprob(token='10', bytes=[49, 48], logprob=-2.7691398)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Emily annoyed that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Is Emily annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?,0.85,-2.205206731906,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00075757346, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00075757346), TopLogprob(token='1', bytes=[49], logprob=-7.2825284), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.8218975), TopLogprob(token=' ', bytes=[32], logprob=-12.248503), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-12.439449)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.3358446e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-5.3358446e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.861826), TopLogprob(token=' ', bytes=[32], logprob=-15.057852), TopLogprob(token=',', bytes=[44], logprob=-15.468127), TopLogprob(token='\n', bytes=[10], logprob=-15.490021)]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-2.2043958, top_logprobs=[TopLogprob(token='85', bytes=[56, 53], logprob=-2.2043958), TopLogprob(token='15', bytes=[49, 53], logprob=-2.5246587), TopLogprob(token='75', bytes=[55, 53], logprob=-2.5735269), TopLogprob(token='95', bytes=[57, 53], logprob=-2.6126885), TopLogprob(token='25', bytes=[50, 53], logprob=-2.6299596)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Sandra asks: Is Michelle right that Mary is pregnant? Question: Does Sandra believe that Mary isn't pregnant?,Sandra asks: Is Michelle right that Mary is pregnant?,Does Sandra believe that Mary is pregnant?,Does Sandra believe that Mary isn't pregnant?,0.01,-1.3879150365100001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0022740813, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0022740813), TopLogprob(token='1', bytes=[49], logprob=-6.2301393), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.208362), TopLogprob(token='I', bytes=[73], logprob=-11.154916), TopLogprob(token=' ', bytes=[32], logprob=-12.512752)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00047845521, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00047845521), TopLogprob(token='<|end|>', bytes=None, logprob=-7.6517215), TopLogprob(token='\n', bytes=[10], logprob=-14.172554), TopLogprob(token=' ', bytes=[32], logprob=-14.332041), TopLogprob(token='<|end|>', bytes=None, logprob=-14.596087)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-1.3851625, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-1.3851625), TopLogprob(token='95', bytes=[57, 53], logprob=-1.9935762), TopLogprob(token='99', bytes=[57, 57], logprob=-2.408167), TopLogprob(token='10', bytes=[49, 48], logprob=-2.8153305), TopLogprob(token='85', bytes=[56, 53], logprob=-3.1290264)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Amanda confess that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Amanda confess that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?,0.01,-1.54449411657,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0015112893, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0015112893), TopLogprob(token='1', bytes=[49], logprob=-6.532519), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.983676), TopLogprob(token=' ', bytes=[32], logprob=-12.54535), TopLogprob(token='I', bytes=[73], logprob=-13.333304)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00019352727, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00019352727), TopLogprob(token='<|end|>', bytes=None, logprob=-8.564052), TopLogprob(token=',', bytes=[44], logprob=-14.484909), TopLogprob(token='<|end|>', bytes=None, logprob=-14.521412), TopLogprob(token=' ', bytes=[32], logprob=-14.60062)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-1.5427893, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-1.5427893), TopLogprob(token='95', bytes=[57, 53], logprob=-1.8122634), TopLogprob(token='00', bytes=[48, 48], logprob=-2.6321278), TopLogprob(token='99', bytes=[57, 57], logprob=-2.770321), TopLogprob(token='10', bytes=[49, 48], logprob=-2.8209686)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Jason confirm that Mary is pregnant? Question: Does Kathleen believe that Mary isn't pregnant?,Kathleen asks: Did Jason confirm that Mary is pregnant?,Does Kathleen believe that Mary is pregnant?,Does Kathleen believe that Mary isn't pregnant?,0.95,-1.7304123415800001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0018190513, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0018190513), TopLogprob(token='1', bytes=[49], logprob=-6.357345), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.6839285), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-11.960752), TopLogprob(token=' ', bytes=[32], logprob=-12.111253)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00043949028, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00043949028), TopLogprob(token='<|end|>', bytes=None, logprob=-7.739871), TopLogprob(token='\n', bytes=[10], logprob=-13.814093), TopLogprob(token=' ', bytes=[32], logprob=-13.870612), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-13.920628)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.7281538, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.7281538), TopLogprob(token='01', bytes=[48, 49], logprob=-1.866469), TopLogprob(token='10', bytes=[49, 48], logprob=-1.9962355), TopLogprob(token='05', bytes=[48, 53], logprob=-2.320952), TopLogprob(token='90', bytes=[57, 48], logprob=-2.8016782)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jacob demonstrate that Mary is pregnant? Question: Does Tyler believe that Mary isn't pregnant?,Tyler asks: Did Jacob demonstrate that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary isn't pregnant?,0.01,-1.68069262432,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00082475296, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00082475296), TopLogprob(token='1', bytes=[49], logprob=-7.1915026), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.682542), TopLogprob(token=' ', bytes=[32], logprob=-12.643447), TopLogprob(token='I', bytes=[73], logprob=-13.404386)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00036347136, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00036347136), TopLogprob(token='<|end|>', bytes=None, logprob=-7.9302187), TopLogprob(token=' ', bytes=[32], logprob=-14.113739), TopLogprob(token=',', bytes=[44], logprob=-14.202547), TopLogprob(token='<|end|>', bytes=None, logprob=-14.208354)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-1.6795044, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-1.6795044), TopLogprob(token='95', bytes=[57, 53], logprob=-1.9414215), TopLogprob(token='99', bytes=[57, 57], logprob=-2.1290245), TopLogprob(token='00', bytes=[48, 48], logprob=-2.6319294), TopLogprob(token='10', bytes=[49, 48], logprob=-2.900467)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Stephanie discover that Mary is pregnant? Question: Does Scott believe that Mary isn't pregnant?,Scott asks: Did Stephanie discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary isn't pregnant?,0.95,-1.58516974033,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00037645356, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00037645356), TopLogprob(token='1', bytes=[49], logprob=-8.158078), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.433415), TopLogprob(token=' ', bytes=[32], logprob=-12.677356), TopLogprob(token='I', bytes=[73], logprob=-13.059152)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-6.408677e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-6.408677e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.67644), TopLogprob(token=',', bytes=[44], logprob=-15.012806), TopLogprob(token=' ', bytes=[32], logprob=-15.093828), TopLogprob(token='<|end|>', bytes=None, logprob=-15.509595)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.5847292, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.5847292), TopLogprob(token='01', bytes=[48, 49], logprob=-2.0548983), TopLogprob(token='90', bytes=[57, 48], logprob=-2.4736376), TopLogprob(token='10', bytes=[49, 48], logprob=-2.6472502), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6822004)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy establish that Mary is pregnant? Question: Does Betty believe that Mary isn't pregnant?,Betty asks: Did Timothy establish that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary isn't pregnant?,0.01,-1.4210945943000002,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0004976287, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0004976287), TopLogprob(token='1', bytes=[49], logprob=-7.788765), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.55982), TopLogprob(token=' ', bytes=[32], logprob=-12.376532), TopLogprob(token='I', bytes=[73], logprob=-12.688923)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0016143656, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0016143656), TopLogprob(token='<|end|>', bytes=None, logprob=-6.433526), TopLogprob(token='\n', bytes=[10], logprob=-13.386562), TopLogprob(token=' ', bytes=[32], logprob=-13.628005), TopLogprob(token='<|end|>', bytes=None, logprob=-13.757722)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-1.4189826, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-1.4189826), TopLogprob(token='95', bytes=[57, 53], logprob=-1.8407909), TopLogprob(token='99', bytes=[57, 57], logprob=-2.0817862), TopLogprob(token='00', bytes=[48, 48], logprob=-2.6332293), TopLogprob(token='10', bytes=[49, 48], logprob=-2.98742)])]"
