verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Did Ryan acknowledge that Mary is pregnant? Question: Does Daniel believe that Mary is pregnant?,Daniel asks: Did Ryan acknowledge that Mary is pregnant?,Does Daniel believe that Mary is pregnant?,Does Daniel believe that Mary is not pregnant?,0.9,-1.1282349999999999,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0535895, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0535895), TopLogprob(token='1', bytes=[49], logprob=-2.9530952), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-14.3663), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.786465), TopLogprob(token='No', bytes=[78, 111], logprob=-17.070576)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.226622), TopLogprob(token='\n', bytes=[10], logprob=-18.545124), TopLogprob(token='<|end|>', bytes=None, logprob=-19.15154), TopLogprob(token='..', bytes=[46, 46], logprob=-21.740028)]), ChatCompletionTokenLogprob(token='9', bytes=[57], logprob=-1.0746455, top_logprobs=[TopLogprob(token='9', bytes=[57], logprob=-1.0746455), TopLogprob(token='95', bytes=[57, 53], logprob=-1.5230289), TopLogprob(token='85', bytes=[56, 53], logprob=-1.9993663), TopLogprob(token='75', bytes=[55, 53], logprob=-2.57447), TopLogprob(token='8', bytes=[56], logprob=-2.6821704)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Laura admit that Mary is pregnant? Question: Does Cynthia believe that Mary is pregnant?,Cynthia asks: Did Laura admit that Mary is pregnant?,Does Cynthia believe that Mary is pregnant?,Does Cynthia believe that Mary is not pregnant?,0.75,-1.4724975596999998,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0010836597, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0010836597), TopLogprob(token='1', bytes=[49], logprob=-6.828034), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-17.739155), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.048592), TopLogprob(token='-', bytes=[45], logprob=-18.404093)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.753351), TopLogprob(token='\n', bytes=[10], logprob=-18.271246), TopLogprob(token='<|end|>', bytes=None, logprob=-19.704313), TopLogprob(token='-', bytes=[45], logprob=-20.833271)]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-1.4714139, top_logprobs=[TopLogprob(token='75', bytes=[55, 53], logprob=-1.4714139), TopLogprob(token='9', bytes=[57], logprob=-1.5711262), TopLogprob(token='8', bytes=[56], logprob=-1.7337277), TopLogprob(token='85', bytes=[56, 53], logprob=-1.9488137), TopLogprob(token='7', bytes=[55], logprob=-2.4179966)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Brian asks: Did Jeffrey announce that Mary is pregnant? Question: Does Brian believe that Mary is pregnant?,Brian asks: Did Jeffrey announce that Mary is pregnant?,Does Brian believe that Mary is pregnant?,Does Brian believe that Mary is not pregnant?,0.5,-0.0994629616675,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9816675e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-1.9816675e-06), TopLogprob(token='1', bytes=[49], logprob=-13.197294), TopLogprob(token='-', bytes=[45], logprob=-19.023073), TopLogprob(token='.', bytes=[46], logprob=-19.701328), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.73173)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token='\n', bytes=[10], logprob=-18.271034), TopLogprob(token=',', bytes=[44], logprob=-18.38656), TopLogprob(token='<|end|>', bytes=None, logprob=-19.309355), TopLogprob(token='-', bytes=[45], logprob=-21.334938)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.09946098, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.09946098), TopLogprob(token='50', bytes=[53, 48], logprob=-3.02908), TopLogprob(token='6', bytes=[54], logprob=-4.1437116), TopLogprob(token='7', bytes=[55], logprob=-5.2975163), TopLogprob(token='4', bytes=[52], logprob=-5.333943)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Jason annoyed that Mary is pregnant? Question: Does Kevin believe that Mary is pregnant?,Kevin asks: Is Jason annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary is not pregnant?,1,-7.064298e-05,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-7.064298e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-7.064298e-05), TopLogprob(token='0', bytes=[48], logprob=-9.562571), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-15.546946), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-18.640696), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.859446)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Is Ronald right that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Is Ronald right that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?,0.5,-0.046395632834639995,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-9.0883464e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-9.0883464e-07), TopLogprob(token='1', bytes=[49], logprob=-13.965108), TopLogprob(token='.', bytes=[46], logprob=-19.291533), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.39553), TopLogprob(token='-', bytes=[45], logprob=-19.437107)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.776207), TopLogprob(token='\n', bytes=[10], logprob=-18.646935), TopLogprob(token='<|end|>', bytes=None, logprob=-20.506866), TopLogprob(token='-', bytes=[45], logprob=-20.85491)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.046394724, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.046394724), TopLogprob(token='50', bytes=[53, 48], logprob=-3.2287793), TopLogprob(token='6', bytes=[54], logprob=-6.200545), TopLogprob(token='4', bytes=[52], logprob=-6.7347608), TopLogprob(token='45', bytes=[52, 53], logprob=-7.6119885)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jeffrey confess that Mary is pregnant? Question: Does Tyler believe that Mary is pregnant?,Tyler asks: Did Jeffrey confess that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary is not pregnant?,0.5,-0.83246160108,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.500108e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-3.500108e-05), TopLogprob(token='1', bytes=[49], logprob=-10.260999), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.323267), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-18.53026), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.618195)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-16.79701), TopLogprob(token='\n', bytes=[10], logprob=-17.925701), TopLogprob(token='..', bytes=[46, 46], logprob=-20.250124), TopLogprob(token='<|end|>', bytes=None, logprob=-20.383823)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.8324266, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.8324266), TopLogprob(token='75', bytes=[55, 53], logprob=-2.2669873), TopLogprob(token='8', bytes=[56], logprob=-2.4697652), TopLogprob(token='7', bytes=[55], logprob=-2.4866052), TopLogprob(token='6', bytes=[54], logprob=-2.6212697)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: George asks: Did Stephanie confirm that Mary is pregnant? Question: Does George believe that Mary is pregnant?,George asks: Did Stephanie confirm that Mary is pregnant?,Does George believe that Mary is pregnant?,Does George believe that Mary is not pregnant?,0.5,-0.4731093508714,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.1008714e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.1008714e-06), TopLogprob(token='1', bytes=[49], logprob=-13.086473), TopLogprob(token='-', bytes=[45], logprob=-19.230968), TopLogprob(token='.', bytes=[46], logprob=-19.397242), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.688162)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-18.132978), TopLogprob(token='\n', bytes=[10], logprob=-18.581589), TopLogprob(token='<|end|>', bytes=None, logprob=-20.264984), TopLogprob(token='-', bytes=[45], logprob=-21.116812)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.47310725, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.47310725), TopLogprob(token='75', bytes=[55, 53], logprob=-2.3596163), TopLogprob(token='7', bytes=[55], logprob=-2.7236776), TopLogprob(token='6', bytes=[54], logprob=-2.9348574), TopLogprob(token='50', bytes=[53, 48], logprob=-3.0268793)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy demonstrate that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Did Timothy demonstrate that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?,0.7,-1.641615352596,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.5252596e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-4.5252596e-05), TopLogprob(token='1', bytes=[49], logprob=-10.004878), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.202358), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.300634), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-18.709229)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.509253), TopLogprob(token='\n', bytes=[10], logprob=-18.04999), TopLogprob(token='<|end|>', bytes=None, logprob=-20.317135), TopLogprob(token='-', bytes=[45], logprob=-20.962723)]), ChatCompletionTokenLogprob(token='7', bytes=[55], logprob=-1.6415701, top_logprobs=[TopLogprob(token='7', bytes=[55], logprob=-1.6415701), TopLogprob(token='75', bytes=[55, 53], logprob=-1.6883764), TopLogprob(token='5', bytes=[53], logprob=-1.9429369), TopLogprob(token='8', bytes=[56], logprob=-2.0695276), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6194792)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Laura discover that Mary is pregnant? Question: Does Scott believe that Mary is pregnant?,Scott asks: Did Laura discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary is not pregnant?,0.5,-0.7983945976300001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00025263763, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00025263763), TopLogprob(token='1', bytes=[49], logprob=-8.285491), TopLogprob(token='No', bytes=[78, 111], logprob=-15.437955), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-16.49852), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-17.843317)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token='<|end|>', bytes=None, logprob=-16.919464), TopLogprob(token=',', bytes=[44], logprob=-19.726944), TopLogprob(token='\n', bytes=[10], logprob=-20.45132), TopLogprob(token='-', bytes=[45], logprob=-23.05143)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.79814196, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.79814196), TopLogprob(token='75', bytes=[55, 53], logprob=-2.3587308), TopLogprob(token='8', bytes=[56], logprob=-2.501614), TopLogprob(token='7', bytes=[55], logprob=-2.7384953), TopLogprob(token='9', bytes=[57], logprob=-2.785336)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Michelle establish that Mary is pregnant? Question: Does Edward believe that Mary is pregnant?,Edward asks: Did Michelle establish that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary is not pregnant?,0.5,-0.10942766122365,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-5.5122365e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-5.5122365e-07), TopLogprob(token='1', bytes=[49], logprob=-14.616677), TopLogprob(token='-', bytes=[45], logprob=-19.489588), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.732565), TopLogprob(token='No', bytes=[78, 111], logprob=-19.754866)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token='\n', bytes=[10], logprob=-18.890532), TopLogprob(token=',', bytes=[44], logprob=-19.056835), TopLogprob(token='<|end|>', bytes=None, logprob=-20.666254), TopLogprob(token='<|end|>', bytes=None, logprob=-21.938751)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.10942711, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.10942711), TopLogprob(token='50', bytes=[53, 48], logprob=-2.649577), TopLogprob(token='6', bytes=[54], logprob=-4.469538), TopLogprob(token='4', bytes=[52], logprob=-5.165005), TopLogprob(token='75', bytes=[55, 53], logprob=-5.8455415)])]"
