verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Carol acknowledge that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Carol acknowledge that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Laura admit that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Laura admit that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Emily announce that Mary is pregnant? Question: Is Scott certain that Mary is pregnant?,Scott asks: Did Emily announce that Mary is pregnant?,Is Scott certain that Mary is pregnant?,Is Scott certain that Mary isn't pregnant?
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Is Michelle annoyed that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Is Michelle annoyed that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kimberly asks: Is Gary right that Mary is pregnant? Question: Is Kimberly certain that Mary is pregnant?,Kimberly asks: Is Gary right that Mary is pregnant?,Is Kimberly certain that Mary is pregnant?,Is Kimberly certain that Mary isn't pregnant?
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Michelle confess that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Michelle confess that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Ryan confirm that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Ryan confirm that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kenneth asks: Did Deborah demonstrate that Mary is pregnant? Question: Is Kenneth certain that Mary is pregnant?,Kenneth asks: Did Deborah demonstrate that Mary is pregnant?,Is Kenneth certain that Mary is pregnant?,Is Kenneth certain that Mary isn't pregnant?
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Did Jeffrey discover that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Did Jeffrey discover that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Lisa asks: Did Laura establish that Mary is pregnant? Question: Is Lisa certain that Mary is pregnant?,Lisa asks: Did Laura establish that Mary is pregnant?,Is Lisa certain that Mary is pregnant?,Is Lisa certain that Mary isn't pregnant?
hear,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Gary hear that Mary is pregnant? Question: Is Scott certain that Mary is pregnant?,Scott asks: Did Gary hear that Mary is pregnant?,Is Scott certain that Mary is pregnant?,Is Scott certain that Mary isn't pregnant?
inform,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Jonathan inform Jane that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Jonathan inform Jane that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?
know,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Does Stephanie know that Mary is pregnant? Question: Is Tyler certain that Mary is pregnant?,Tyler asks: Does Stephanie know that Mary is pregnant?,Is Tyler certain that Mary is pregnant?,Is Tyler certain that Mary isn't pregnant?
pretend,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Stephanie pretend that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Stephanie pretend that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?
prove,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Sharon prove that Mary is pregnant? Question: Is Cynthia certain that Mary is pregnant?,Cynthia asks: Did Sharon prove that Mary is pregnant?,Is Cynthia certain that Mary is pregnant?,Is Cynthia certain that Mary isn't pregnant?
reveal,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Did Laura reveal that Mary is pregnant? Question: Is Kevin certain that Mary is pregnant?,Kevin asks: Did Laura reveal that Mary is pregnant?,Is Kevin certain that Mary is pregnant?,Is Kevin certain that Mary isn't pregnant?
