embedded,prior_type,item,embedded_content,prior,background,prompt,rating,distribution,raw_probs
p,high_prior,Mary,Mary is pregnant,Mary is taking a prenatal yoga class.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Mary is taking a prenatal yoga class. Question: How likely is it that Mary is pregnant?",0.99,-0.031333614,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.031333614, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='99', bytes=[57, 57], logprob=-0.08765062, top_logprobs=[])]"
p,low_prior,Josie,Josie went on vacation to France,Josie doesn't have a passport,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Josie doesn't have a passport Question: How likely is it that Josie went on vacation to France?",0.01,0,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-6.704273e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-0.04105674, top_logprobs=[])]"
p,high_prior,Emma,Emma studied on Saturday morning,Emma is in law school.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emma is in law school. Question: How likely is it that Emma studied on Saturday morning?",0.7,-1.94E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='7', bytes=[55], logprob=-0.63194203, top_logprobs=[])]"
p,high_prior,Julian,Julian dances salsa,Julian is Cuban.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Julian is Cuban. Question: How likely is it that Julian dances salsa?",0.5,-1.27E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.2664457e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.130174, top_logprobs=[])]"
p,high_prior,Isabella,Isabella ate a steak on Sunday,Isabella is from Argentina.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Isabella is from Argentina. Question: How likely is it that Isabella ate a steak on Sunday?",0.5,-1.94E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.035692908, top_logprobs=[])]"
p,high_prior,Emily,Emily bought a car yesterday,Emily has been saving for a year.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emily has been saving for a year. Question: How likely is it that Emily bought a car yesterday?",0.5,-3.13E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.01499234, top_logprobs=[])]"
p,high_prior,Danny,Danny ate the last cupcake,Danny loves cake.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Danny loves cake. Question: How likely is it that Danny ate the last cupcake?",0.75,-7.70E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-7.703444e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-1.0621711, top_logprobs=[])]"
p,high_prior,Grace,Grace visited her sister,Grace loves her sister.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Grace loves her sister. Question: How likely is it that Grace visited her sister?",0.7,-1.50E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.504853e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='7', bytes=[55], logprob=-0.9623225, top_logprobs=[])]"
p,high_prior,Zoe,Zoe calculated the tip,Zoe is a math major.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Zoe is a math major. Question: How likely is it that Zoe calculated the tip?",0.85,-9.91E-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-9.913265e-05, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-1.0967649, top_logprobs=[])]"
p,high_prior,Frank,Frank got a cat,Frank has always wanted a pet.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Frank has always wanted a pet. Question: How likely is it that Frank got a cat?",0.5,-4.32E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.008403696, top_logprobs=[])]"
