verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,distribution,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Did Ryan acknowledge that Mary is pregnant? Question: Does Daniel believe that Mary is pregnant?,Daniel asks: Did Ryan acknowledge that Mary is pregnant?,Does Daniel believe that Mary is pregnant?,Does Daniel believe that Mary is not pregnant?,0.95,-0.0017338481,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0017338481, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0017338481), TopLogprob(token='1', bytes=[49], logprob=-6.44479), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.071651), TopLogprob(token='I', bytes=[73], logprob=-11.258781), TopLogprob(token=' ', bytes=[32], logprob=-12.090115)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-2.188868e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-2.188868e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-10.796862), TopLogprob(token=',', bytes=[44], logprob=-14.445709), TopLogprob(token=' ', bytes=[32], logprob=-14.9852705), TopLogprob(token='<|end|>', bytes=None, logprob=-15.992366)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-0.6506237, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-0.6506237), TopLogprob(token='90', bytes=[57, 48], logprob=-2.1078515), TopLogprob(token='85', bytes=[56, 53], logprob=-2.3732572), TopLogprob(token='9', bytes=[57], logprob=-2.609057), TopLogprob(token='99', bytes=[57, 57], logprob=-3.232655)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Laura admit that Mary is pregnant? Question: Does Cynthia believe that Mary is pregnant?,Cynthia asks: Did Laura admit that Mary is pregnant?,Does Cynthia believe that Mary is pregnant?,Does Cynthia believe that Mary is not pregnant?,0.95,-0.00043877508,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00043877508, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00043877508), TopLogprob(token='1', bytes=[49], logprob=-7.7840385), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.2051735), TopLogprob(token='I', bytes=[73], logprob=-12.575272), TopLogprob(token=' ', bytes=[32], logprob=-13.227634)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.288163e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-5.288163e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.887073), TopLogprob(token=',', bytes=[44], logprob=-14.2434025), TopLogprob(token=' ', bytes=[32], logprob=-14.350647), TopLogprob(token='<|end|>', bytes=None, logprob=-15.542533)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-0.7674133, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-0.7674133), TopLogprob(token='9', bytes=[57], logprob=-2.2083638), TopLogprob(token='90', bytes=[57, 48], logprob=-2.2584965), TopLogprob(token='85', bytes=[56, 53], logprob=-2.3046238), TopLogprob(token='8', bytes=[56], logprob=-2.6531308)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Brian asks: Did Jeffrey announce that Mary is pregnant? Question: Does Brian believe that Mary is pregnant?,Brian asks: Did Jeffrey announce that Mary is pregnant?,Does Brian believe that Mary is pregnant?,Does Brian believe that Mary is not pregnant?,0.95,-0.0042108903,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0042108903, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0042108903), TopLogprob(token='1', bytes=[49], logprob=-5.4864993), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.125918), TopLogprob(token=' ', bytes=[32], logprob=-12.070336), TopLogprob(token='I', bytes=[73], logprob=-12.254916)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-3.22594e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-3.22594e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-10.395024), TopLogprob(token=' ', bytes=[32], logprob=-14.615661), TopLogprob(token=',', bytes=[44], logprob=-14.746744), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-15.749307)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-0.84987944, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-0.84987944), TopLogprob(token='90', bytes=[57, 48], logprob=-1.6842968), TopLogprob(token='85', bytes=[56, 53], logprob=-2.1280072), TopLogprob(token='9', bytes=[57], logprob=-2.6595757), TopLogprob(token='80', bytes=[56, 48], logprob=-3.1238396)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Jason annoyed that Mary is pregnant? Question: Does Kevin believe that Mary is pregnant?,Kevin asks: Is Jason annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary is not pregnant?,0.95,-0.00063523557,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00063523557, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00063523557), TopLogprob(token='1', bytes=[49], logprob=-7.424631), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.509439), TopLogprob(token=' ', bytes=[32], logprob=-12.578423), TopLogprob(token='I', bytes=[73], logprob=-12.795483)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-7.839122e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-7.839122e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.474361), TopLogprob(token=' ', bytes=[32], logprob=-14.4798975), TopLogprob(token=',', bytes=[44], logprob=-14.737592), TopLogprob(token='\n', bytes=[10], logprob=-15.613156)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.725131, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.725131), TopLogprob(token='85', bytes=[56, 53], logprob=-2.0465822), TopLogprob(token='75', bytes=[55, 53], logprob=-2.4910364), TopLogprob(token='90', bytes=[57, 48], logprob=-2.59332), TopLogprob(token='8', bytes=[56], logprob=-2.7824926)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Is Ronald right that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Is Ronald right that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?,0.95,-0.0024705438,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0024705438, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0024705438), TopLogprob(token='1', bytes=[49], logprob=-6.1570516), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.202193), TopLogprob(token='I', bytes=[73], logprob=-10.138427), TopLogprob(token=' ', bytes=[32], logprob=-11.941319)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00028278882, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00028278882), TopLogprob(token='<|end|>', bytes=None, logprob=-8.180501), TopLogprob(token=' ', bytes=[32], logprob=-14.157265), TopLogprob(token=',', bytes=[44], logprob=-14.312441), TopLogprob(token='<|end|>', bytes=None, logprob=-14.94136)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.1142946, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.1142946), TopLogprob(token='85', bytes=[56, 53], logprob=-2.000876), TopLogprob(token='90', bytes=[57, 48], logprob=-2.1066213), TopLogprob(token='9', bytes=[57], logprob=-2.4460454), TopLogprob(token='8', bytes=[56], logprob=-2.7216687)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jeffrey confess that Mary is pregnant? Question: Does Tyler believe that Mary is pregnant?,Tyler asks: Did Jeffrey confess that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary is not pregnant?,0.90,-0.0002750406,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0002750406, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0002750406), TopLogprob(token='1', bytes=[49], logprob=-8.26469), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.47571), TopLogprob(token=' ', bytes=[32], logprob=-12.994946), TopLogprob(token='I', bytes=[73], logprob=-13.029469)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00022654302, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00022654302), TopLogprob(token='<|end|>', bytes=None, logprob=-8.404472), TopLogprob(token=' ', bytes=[32], logprob=-13.939093), TopLogprob(token=',', bytes=[44], logprob=-14.298271), TopLogprob(token='\n', bytes=[10], logprob=-14.826089)]), ChatCompletionTokenLogprob(token='90', bytes=[57, 48], logprob=-1.8133191, top_logprobs=[TopLogprob(token='90', bytes=[57, 48], logprob=-1.8133191), TopLogprob(token='85', bytes=[56, 53], logprob=-1.8923882), TopLogprob(token='95', bytes=[57, 53], logprob=-1.9209946), TopLogprob(token='75', bytes=[55, 53], logprob=-2.218646), TopLogprob(token='80', bytes=[56, 48], logprob=-2.3052893)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: George asks: Did Stephanie confirm that Mary is pregnant? Question: Does George believe that Mary is pregnant?,George asks: Did Stephanie confirm that Mary is pregnant?,Does George believe that Mary is pregnant?,Does George believe that Mary is not pregnant?,0.95,-0.0015819935,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0015819935, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0015819935), TopLogprob(token='1', bytes=[49], logprob=-6.516814), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.476245), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-11.827153), TopLogprob(token=' ', bytes=[32], logprob=-12.270461)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0002605014, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0002605014), TopLogprob(token='<|end|>', bytes=None, logprob=-8.261704), TopLogprob(token=' ', bytes=[32], logprob=-14.257383), TopLogprob(token=',', bytes=[44], logprob=-14.473697), TopLogprob(token='<|end|>', bytes=None, logprob=-15.037071)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.5030723, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.5030723), TopLogprob(token='90', bytes=[57, 48], logprob=-1.8078914), TopLogprob(token='85', bytes=[56, 53], logprob=-2.0960994), TopLogprob(token='9', bytes=[57], logprob=-2.5923686), TopLogprob(token='8', bytes=[56], logprob=-2.609386)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy demonstrate that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Did Timothy demonstrate that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?,0.10,-0.0012390373,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0012390373, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0012390373), TopLogprob(token='1', bytes=[49], logprob=-6.7726946), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.643922), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-11.167935), TopLogprob(token=' ', bytes=[32], logprob=-12.23738)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0012715431, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0012715431), TopLogprob(token='<|end|>', bytes=None, logprob=-6.6700683), TopLogprob(token=' ', bytes=[32], logprob=-13.779108), TopLogprob(token=',', bytes=[44], logprob=-14.790867), TopLogprob(token='<|end|>', bytes=None, logprob=-15.182763)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.9303188, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.9303188), TopLogprob(token='00', bytes=[48, 48], logprob=-2.0437832), TopLogprob(token='95', bytes=[57, 53], logprob=-2.1717892), TopLogprob(token='01', bytes=[48, 49], logprob=-2.210804), TopLogprob(token='90', bytes=[57, 48], logprob=-2.3670425)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Laura discover that Mary is pregnant? Question: Does Scott believe that Mary is pregnant?,Scott asks: Did Laura discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary is not pregnant?,0.95,-0.0011279557,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0011279557, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0011279557), TopLogprob(token='1', bytes=[49], logprob=-6.8700223), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.657552), TopLogprob(token='Rating', bytes=[82, 97, 116, 105, 110, 103], logprob=-11.553376), TopLogprob(token=' ', bytes=[32], logprob=-12.071624)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00011152984, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00011152984), TopLogprob(token='<|end|>', bytes=None, logprob=-9.11987), TopLogprob(token=' ', bytes=[32], logprob=-14.334931), TopLogprob(token=',', bytes=[44], logprob=-14.411628), TopLogprob(token='<|end|>', bytes=None, logprob=-15.32632)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.1484883, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.1484883), TopLogprob(token='90', bytes=[57, 48], logprob=-1.8114235), TopLogprob(token='85', bytes=[56, 53], logprob=-1.9893486), TopLogprob(token='9', bytes=[57], logprob=-2.3587906), TopLogprob(token='8', bytes=[56], logprob=-2.5125859)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Michelle establish that Mary is pregnant? Question: Does Edward believe that Mary is pregnant?,Edward asks: Did Michelle establish that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary is not pregnant?,0.95,-0.0024120386,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0024120386, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0024120386), TopLogprob(token='1', bytes=[49], logprob=-6.1637297), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.282399), TopLogprob(token='I', bytes=[73], logprob=-10.697108), TopLogprob(token=' ', bytes=[32], logprob=-11.847568)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-7.684157e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-7.684157e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.499213), TopLogprob(token=' ', bytes=[32], logprob=-14.382009), TopLogprob(token=',', bytes=[44], logprob=-14.624536), TopLogprob(token='<|end|>', bytes=None, logprob=-15.241283)]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-1.1449063, top_logprobs=[TopLogprob(token='95', bytes=[57, 53], logprob=-1.1449063), TopLogprob(token='90', bytes=[57, 48], logprob=-1.9615891), TopLogprob(token='85', bytes=[56, 53], logprob=-1.9946473), TopLogprob(token='9', bytes=[57], logprob=-2.4421341), TopLogprob(token='8', bytes=[56], logprob=-2.6039174)])]"
