verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Carol acknowledge that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Carol acknowledge that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?,0.5,-0.24647120525,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.02216532, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.02216532), TopLogprob(token='1', bytes=[49], logprob=-3.8203793), TopLogprob(token='No', bytes=[78, 111], logprob=-13.185053), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-15.856651), TopLogprob(token=' ', bytes=[32], logprob=-18.778503)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.036525e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-4.036525e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-10.11817), TopLogprob(token='\n', bytes=[10], logprob=-20.051003), TopLogprob(token='<|end|>', bytes=None, logprob=-21.141897), TopLogprob(token=',', bytes=[44], logprob=-22.600983)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.22426552, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.22426552), TopLogprob(token='50', bytes=[53, 48], logprob=-3.2127166), TopLogprob(token='8', bytes=[56], logprob=-3.4857745), TopLogprob(token='9', bytes=[57], logprob=-3.5041404), TopLogprob(token='75', bytes=[55, 53], logprob=-3.8311439)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Laura admit that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Laura admit that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?,0.5,-0.149722739051,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.365741e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-4.365741e-06), TopLogprob(token='1', bytes=[49], logprob=-12.391915), TopLogprob(token='No', bytes=[78, 111], logprob=-16.013733), TopLogprob(token=' ', bytes=[32], logprob=-19.58019), TopLogprob(token='-', bytes=[45], logprob=-19.79049)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00016623331, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00016623331), TopLogprob(token='<|end|>', bytes=None, logprob=-8.704462), TopLogprob(token='\n', bytes=[10], logprob=-14.847328), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-20.034063), TopLogprob(token='<|end|>', bytes=None, logprob=-20.366093)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.14955214, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.14955214), TopLogprob(token='01', bytes=[48, 49], logprob=-2.5863807), TopLogprob(token='00', bytes=[48, 48], logprob=-3.8106067), TopLogprob(token='50', bytes=[53, 48], logprob=-3.9814212), TopLogprob(token='0', bytes=[48], logprob=-4.515012)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Emily announce that Mary is pregnant? Question: Is Scott certain that Mary is pregnant?,Scott asks: Did Emily announce that Mary is pregnant?,Is Scott certain that Mary is pregnant?,Is Scott certain that Mary isn't pregnant?,0.01,-0.5740529050000001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=0.0, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=0.0), TopLogprob(token='No', bytes=[78, 111], logprob=-16.80628), TopLogprob(token='1', bytes=[49], logprob=-17.736881), TopLogprob(token=' ', bytes=[32], logprob=-18.938675), TopLogprob(token='-', bytes=[45], logprob=-20.009634)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.028968545, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.028968545), TopLogprob(token='<|end|>', bytes=None, logprob=-3.5559995), TopLogprob(token='\n', bytes=[10], logprob=-16.354595), TopLogprob(token='<|end|>', bytes=None, logprob=-18.514786), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-21.054245)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-0.54508436, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-0.54508436), TopLogprob(token='00', bytes=[48, 48], logprob=-1.3130077), TopLogprob(token='0', bytes=[48], logprob=-2.38386), TopLogprob(token='5', bytes=[53], logprob=-3.026173), TopLogprob(token='50', bytes=[53, 48], logprob=-6.089234)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Is Michelle annoyed that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Is Michelle annoyed that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?,1,-0.018666299,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.018666299, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.018666299), TopLogprob(token='0', bytes=[48], logprob=-3.9904985), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-12.886672), TopLogprob(token='No', bytes=[78, 111], logprob=-15.998059), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.7096)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kimberly asks: Is Gary right that Mary is pregnant? Question: Is Kimberly certain that Mary is pregnant?,Kimberly asks: Is Gary right that Mary is pregnant?,Is Kimberly certain that Mary is pregnant?,Is Kimberly certain that Mary isn't pregnant?,0.5,-0.04944077303765,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-1.9361265e-07), TopLogprob(token='1', bytes=[49], logprob=-16.125116), TopLogprob(token='No', bytes=[78, 111], logprob=-18.038187), TopLogprob(token='-', bytes=[45], logprob=-19.959232), TopLogprob(token=' ', bytes=[32], logprob=-20.388773)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.9199425e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-5.9199425e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.7359295), TopLogprob(token='\n', bytes=[10], logprob=-19.676218), TopLogprob(token='<|end|>', bytes=None, logprob=-21.28863), TopLogprob(token=',', bytes=[44], logprob=-23.02925)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.04938138, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.04938138), TopLogprob(token='50', bytes=[53, 48], logprob=-3.7204344), TopLogprob(token='4', bytes=[52], logprob=-5.0692806), TopLogprob(token='01', bytes=[48, 49], logprob=-5.4373493), TopLogprob(token='6', bytes=[54], logprob=-6.0810776)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Michelle confess that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Michelle confess that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?,0.5,-0.1699311459273,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-6.704273e-07), TopLogprob(token='1', bytes=[49], logprob=-14.636575), TopLogprob(token='No', bytes=[78, 111], logprob=-16.256777), TopLogprob(token=' ', bytes=[32], logprob=-19.708654), TopLogprob(token='-', bytes=[45], logprob=-20.42572)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0064491355, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0064491355), TopLogprob(token='<|end|>', bytes=None, logprob=-5.0471826), TopLogprob(token='\n', bytes=[10], logprob=-13.853319), TopLogprob(token='<|end|>', bytes=None, logprob=-18.726858), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-19.707415)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.16348134, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.16348134), TopLogprob(token='01', bytes=[48, 49], logprob=-2.559363), TopLogprob(token='0', bytes=[48], logprob=-3.658465), TopLogprob(token='00', bytes=[48, 48], logprob=-4.134526), TopLogprob(token='50', bytes=[53, 48], logprob=-4.277907)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Ryan confirm that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Ryan confirm that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?,0.5,-0.3669086873,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=0.0, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=0.0), TopLogprob(token='No', bytes=[78, 111], logprob=-17.593628), TopLogprob(token='1', bytes=[49], logprob=-18.474854), TopLogprob(token=' ', bytes=[32], logprob=-19.415352), TopLogprob(token='-', bytes=[45], logprob=-19.996086)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0003803873, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0003803873), TopLogprob(token='<|end|>', bytes=None, logprob=-7.8748693), TopLogprob(token='\n', bytes=[10], logprob=-17.892275), TopLogprob(token='<|end|>', bytes=None, logprob=-20.324518), TopLogprob(token=',', bytes=[44], logprob=-22.565294)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.3665283, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.3665283), TopLogprob(token='01', bytes=[48, 49], logprob=-2.069245), TopLogprob(token='0', bytes=[48], logprob=-2.7149456), TopLogprob(token='4', bytes=[52], logprob=-3.666434), TopLogprob(token='00', bytes=[48, 48], logprob=-3.9092968)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kenneth asks: Did Deborah demonstrate that Mary is pregnant? Question: Is Kenneth certain that Mary is pregnant?,Kenneth asks: Did Deborah demonstrate that Mary is pregnant?,Is Kenneth certain that Mary is pregnant?,Is Kenneth certain that Mary isn't pregnant?,0.01,-0.702514502,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=0.0, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=0.0), TopLogprob(token='No', bytes=[78, 111], logprob=-17.480759), TopLogprob(token='1', bytes=[49], logprob=-17.884792), TopLogprob(token=' ', bytes=[32], logprob=-19.49345), TopLogprob(token='-', bytes=[45], logprob=-20.310083)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.028515302, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.028515302), TopLogprob(token='<|end|>', bytes=None, logprob=-3.5715451), TopLogprob(token='\n', bytes=[10], logprob=-16.447884), TopLogprob(token='<|end|>', bytes=None, logprob=-18.1947), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-20.978321)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-0.6739992, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-0.6739992), TopLogprob(token='5', bytes=[53], logprob=-1.3828901), TopLogprob(token='00', bytes=[48, 48], logprob=-1.8867525), TopLogprob(token='0', bytes=[48], logprob=-2.686975), TopLogprob(token='50', bytes=[53, 48], logprob=-5.525251)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Did Jeffrey discover that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Did Jeffrey discover that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?,0.5,-0.082593735426,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.888926e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-3.888926e-06), TopLogprob(token='1', bytes=[49], logprob=-12.519863), TopLogprob(token='No', bytes=[78, 111], logprob=-16.255108), TopLogprob(token=' ', bytes=[32], logprob=-19.768446), TopLogprob(token='-', bytes=[45], logprob=-19.818241)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0010501965, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0010501965), TopLogprob(token='<|end|>', bytes=None, logprob=-6.859357), TopLogprob(token='\n', bytes=[10], logprob=-18.41142), TopLogprob(token='<|end|>', bytes=None, logprob=-19.16311), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-22.554684)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.08153965, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.08153965), TopLogprob(token='01', bytes=[48, 49], logprob=-3.4217877), TopLogprob(token='50', bytes=[53, 48], logprob=-4.09397), TopLogprob(token='00', bytes=[48, 48], logprob=-4.9995065), TopLogprob(token='6', bytes=[54], logprob=-5.1424813)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Lisa asks: Did Laura establish that Mary is pregnant? Question: Is Lisa certain that Mary is pregnant?,Lisa asks: Did Laura establish that Mary is pregnant?,Is Lisa certain that Mary is pregnant?,Is Lisa certain that Mary isn't pregnant?,0.01,-0.6478048244,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=0.0, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=0.0), TopLogprob(token='No', bytes=[78, 111], logprob=-17.371233), TopLogprob(token='1', bytes=[49], logprob=-17.725264), TopLogprob(token=' ', bytes=[32], logprob=-19.681637), TopLogprob(token='-', bytes=[45], logprob=-20.287401)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0009811244, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0009811244), TopLogprob(token='<|end|>', bytes=None, logprob=-6.9274416), TopLogprob(token='\n', bytes=[10], logprob=-17.043474), TopLogprob(token='<|end|>', bytes=None, logprob=-19.31089), TopLogprob(token='\n\n', bytes=[10, 10], logprob=-22.069538)]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-0.6468237, top_logprobs=[TopLogprob(token='01', bytes=[48, 49], logprob=-0.6468237), TopLogprob(token='5', bytes=[53], logprob=-1.4160612), TopLogprob(token='00', bytes=[48, 48], logprob=-2.7689874), TopLogprob(token='0', bytes=[48], logprob=-3.0415323), TopLogprob(token='4', bytes=[52], logprob=-4.157381)])]"
