workerid,proliferate.condition,ah_response,item,object,predicate,prior_condition,prior_fact,prior_rating,question_order,response,rt,slide_number_in_experiment,speaker_response,text,trigger,trigger_class,utterance,error
247,condition1,,,Elizabeth,,,,,,Elizabeth,0,1,,bot_check,,,,
247,condition1,0.42,frank,,know,low_prob,Frank is allergic to cats,0.16965034965035,ah_first,,33469,4,0.03,,know_neg,Critical,"Does <font color=""red"">Ronald</font> know that Frank didn't get a cat?",
247,condition1,0.46,josie,,think,low_prob,Josie doesn't have a passport,0.117286821705426,ah_first,,21690,5,0.96,,think_neg,Critical,"Does <font color=""red"">Jeffrey</font> think that Josie didn't go on vacation to France?",
247,condition1,0.48,emily,,say,high_prob,Emily has been saving for a year,0.561555555555556,ah_first,,16003,6,0.5,,say_pos,Control,"Did <font color=""red"">Gary</font> say that Emily bought a car yesterday?",
247,condition1,0.44,julian,,think,low_prob,Julian is German,0.401796875,ah_first,,18852,7,0.19,,think_pos,Critical,"Does <font color=""red"">Timothy</font> think that Julian dances salsa?",
247,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,ah_first,,5816,8,0.45,,MC,Filler,Do these muffins have blueberries in them?,
247,condition1,0.52,grace,,think,high_prob,Grace loves her sister,0.790144927536232,ah_first,,13137,9,0.11,,think_pos,Critical,"Does <font color=""red"">Jason</font> think that Grace visited her sister?",
247,condition1,,jayden,,Polar,low_prob,Jayden doesn't have a driver's license,0.1756,ah_first,,12402,10,0.15,,Polar,Critical,Did Jayden rent a car?,
247,condition1,,kids,,MC,neutral,Many children like ice cream,0,ah_first,,19923,11,0.33,,MC,Filler,Was Jack playing outside with the kids?,
247,condition1,,danny,,Polar,high_prob,Danny loves cake,0.697062937062937,ah_first,,7347,12,0.66,,Polar,Critical,Did Danny eat the last cupcake?,
247,condition1,0.22,owen,,say,high_prob,Owen lives in Chicago,0.74648275862069,ah_first,,20021,13,0.29,,say_neg,Control,"Did <font color=""red"">Jonathan</font> say that Owen didn't shovel snow last winter?",
247,condition1,0.37,jon,,know,high_prob,Jon lives 2 blocks away from work,0.7559375,ah_first,,15635,14,0.61,,know_neg,Critical,"Does <font color=""red"">Rebecca</font> know that Jon doesn't walk to work?",
247,condition1,0.78,josh,,inform,high_prob,Josh is a 5-year old boy,0.544575163398693,ah_first,,10786,15,0.73,,inform_pos,Control,"Did <font color=""red"">Nicholas</font> inform Sam that Josh learned to ride a bike yesterday?",
247,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,ah_first,,12853,16,0.49,,MC,Filler,Does Ann dance ballet?,
247,condition1,0.73,emma,,know,high_prob,Emma is in law school,0.680763888888889,ah_first,,12336,17,0.96,,know_pos,Critical,"Does <font color=""red"">Sharon</font> know that Emma studied on Saturday morning?",
247,condition1,0.49,jackson,,inform,high_prob,Jackson is training for a marathon,0.774965034965035,ah_first,,16219,18,0.91,,inform_neg,Control,"Did <font color=""red"">Stephanie</font> inform Sam that Jackson didn't run 10 miles?",
247,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,ah_first,,7619,19,0.48,,MC,Filler,Were Carl's kids in the garage?,
247,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,ah_first,,6869,20,0.5,,MC,Filler,Does this pizza have mushrooms on it?,
247,condition1,,hat,,MC,neutral,Hats are worn on the head,0,ah_first,,8152,21,0.76,,MC,Filler,Does Samantha have a new hat?,
247,condition1,0.88,tony,,inform,low_prob,Tony has been sober for 20 years,0.2196,ah_first,,13752,22,0.97,,inform_neg,Control,"Did <font color=""red"">Jacob</font> inform Sam that Tony didn't have a drink last night?",
247,condition1,0.27,zoe,,inform,low_prob,Zoe is 5 years old,0.192108843537415,ah_first,,13519,23,0.86,,inform_pos,Control,"Did <font color=""red"">Laura</font> inform Sam that Zoe calculated the tip?",
247,condition1,0.32,olivia,,say,low_prob,Olivia has two small children,0.210592105263158,ah_first,,10585,24,0.06,,say_pos,Control,"Did <font color=""red"">Emily</font> say that Olivia sleeps until noon?",
247,condition1,0.47,charley,,think,high_prob,Charley lives in Mexico,0.804632352941177,ah_first,,13086,25,0.16,,think_neg,Critical,"Does <font color=""red"">Deborah</font> think that Charley doesn't speak Spanish?",
247,condition1,0.26,mary,,know,low_prob,Mary is a middle school student,0.225401459854015,ah_first,,13152,26,0.98,,know_pos,Critical,"Does <font color=""red"">Carol</font> know that Mary is pregnant?",
247,condition1,0.46,isabella,,say,low_prob,Isabella is a vegetarian,0.125813953488372,ah_first,,15153,27,0.93,,say_neg,Control,"Did <font color=""red"">Melissa</font> say that Isabella didn't eat a steak on Sunday?",
548,condition1,,,Barbara,,,,,,Barbara,0,1,,bot_check,,,,
548,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,speaker_first,,13693,4,0.64,,MC,Filler,Does Ann dance ballet?,
548,condition1,0.49,mary,,think,high_prob,Mary is taking a prenatal yoga class,0.815167785234899,speaker_first,,40240,5,0.71,,think_pos,Critical,"Does <font color=""red"">Amanda</font> think that Mary is pregnant?",
548,condition1,,hat,,MC,neutral,Hats are worn on the head,0,speaker_first,,9732,6,0.9,,MC,Filler,Does Samantha have a new hat?,
548,condition1,1,emily,,inform,low_prob,Emily never has any money,0.151655629139073,speaker_first,,27460,7,0.99,,inform_pos,Control,"Did <font color=""red"">Emily</font> inform Sam that Emily bought a car yesterday?",
548,condition1,0.99,josie,,inform,high_prob,Josie loves France,0.73343949044586,speaker_first,,21946,8,0.99,,inform_pos,Control,"Did <font color=""red"">Rebecca</font> inform Sam that Josie went on vacation to France?",
548,condition1,,olivia,,Polar,low_prob,Olivia has two small children,0.210592105263158,speaker_first,,11006,9,0.34,,Polar,Critical,Does Olivia sleep until noon?,
548,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,speaker_first,,7578,10,0.72,,MC,Filler,Do these muffins have blueberries in them?,
548,condition1,0.23,tony,,think,high_prob,Tony really likes to party with his friends,0.747279411764706,speaker_first,,26018,11,0.33,,think_neg,Critical,"Does <font color=""red"">Ryan</font> think that Tony didn't have a drink last night?",
548,condition1,0.38,emma,,know,high_prob,Emma is in law school,0.680763888888889,speaker_first,,21368,12,0.98,,know_neg,Critical,"Does <font color=""red"">Gary</font> know that Emma didn't study on Saturday morning?",
548,condition1,0.77,zoe,,say,high_prob,Zoe is a math major,0.745971223021583,speaker_first,,24804,13,0.23,,say_neg,Control,"Did <font color=""red"">Jonathan</font> say that Zoe didn't calculate the tip?",
548,condition1,0.99,grace,,inform,high_prob,Grace loves her sister,0.790144927536232,speaker_first,,19917,14,0.99,,inform_neg,Control,"Did <font color=""red"">Jeffrey</font> inform Sam that Grace didn't visit her sister?",
548,condition1,0.27,danny,,know,low_prob,Danny is a diabetic,0.27993006993007,speaker_first,,13622,15,0.99,,know_pos,Critical,"Does <font color=""red"">Eric</font> know that Danny ate the last cupcake?",
548,condition1,0.98,owen,,inform,low_prob,Owen lives in New Orleans,0.279503546099291,speaker_first,,23132,16,0.98,,inform_neg,Control,"Did <font color=""red"">Jacob</font> inform Sam that Owen didn't shovel snow last winter?",
