"verb","embedded_type","prior_type","item","prior","prompt","target","question","alt_question","rating","distribution","raw_probs"
"acknowledge","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Did Ryan acknowledge that Mary is pregnant? Question: Does Daniel believe that Mary is pregnant?","Daniel asks: Did Ryan acknowledge that Mary is pregnant?","Does Daniel believe that Mary is pregnant?","Does Daniel believe that Mary is not pregnant?",0.9,-0.028811619,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.028811619, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.028811619), TopLogprob(token='1', bytes=[49], logprob=-3.5613625), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-15.510619), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.103926), TopLogprob(token='No', bytes=[78, 111], logprob=-17.49698)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-18.15804), TopLogprob(token='\n', bytes=[10], logprob=-18.91238), TopLogprob(token='<|end|>', bytes=None, logprob=-19.47342), TopLogprob(token='-', bytes=[45], logprob=-22.228878)]), ChatCompletionTokenLogprob(token='9', bytes=[57], logprob=-1.2980053, top_logprobs=[TopLogprob(token='9', bytes=[57], logprob=-1.2980053), TopLogprob(token='95', bytes=[57, 53], logprob=-1.5983479), TopLogprob(token='85', bytes=[56, 53], logprob=-1.752351), TopLogprob(token='75', bytes=[55, 53], logprob=-2.078809), TopLogprob(token='8', bytes=[56], logprob=-2.5433095)])]"
"admit","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Laura admit that Mary is pregnant? Question: Does Cynthia believe that Mary is pregnant?","Cynthia asks: Did Laura admit that Mary is pregnant?","Does Cynthia believe that Mary is pregnant?","Does Cynthia believe that Mary is not pregnant?",0.75,-0.0008902599,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0008902599, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0008902599), TopLogprob(token='1', bytes=[49], logprob=-7.024524), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.022566), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-18.136793), TopLogprob(token='-', bytes=[45], logprob=-18.311392)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.2467), TopLogprob(token='\n', bytes=[10], logprob=-17.665508), TopLogprob(token='<|end|>', bytes=None, logprob=-19.253195), TopLogprob(token='-', bytes=[45], logprob=-20.57976)]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-1.5068096, top_logprobs=[TopLogprob(token='75', bytes=[55, 53], logprob=-1.5068096), TopLogprob(token='8', bytes=[56], logprob=-1.6828693), TopLogprob(token='9', bytes=[57], logprob=-1.6930965), TopLogprob(token='7', bytes=[55], logprob=-2.0394845), TopLogprob(token='85', bytes=[56, 53], logprob=-2.154097)])]"
"announce","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Brian asks: Did Jeffrey announce that Mary is pregnant? Question: Does Brian believe that Mary is pregnant?","Brian asks: Did Jeffrey announce that Mary is pregnant?","Does Brian believe that Mary is pregnant?","Does Brian believe that Mary is not pregnant?",0.5,-4.604148e-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.604148e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-4.604148e-06), TopLogprob(token='1', bytes=[49], logprob=-12.31844), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.84855), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.936493), TopLogprob(token='-', bytes=[45], logprob=-18.941463)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.808798), TopLogprob(token='\n', bytes=[10], logprob=-18.234964), TopLogprob(token='<|end|>', bytes=None, logprob=-20.273335), TopLogprob(token='-', bytes=[45], logprob=-21.1893)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.19003482, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.19003482), TopLogprob(token='50', bytes=[53, 48], logprob=-2.6181126), TopLogprob(token='6', bytes=[54], logprob=-3.6110706), TopLogprob(token='7', bytes=[55], logprob=-3.9443283), TopLogprob(token='75', bytes=[55, 53], logprob=-4.029421)])]"
"annoyed","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Jason annoyed that Mary is pregnant? Question: Does Kevin believe that Mary is pregnant?","Kevin asks: Is Jason annoyed that Mary is pregnant?","Does Kevin believe that Mary is pregnant?","Does Kevin believe that Mary is not pregnant?",1,-7.3861476e-05,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-7.3861476e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-7.3861476e-05), TopLogprob(token='0', bytes=[48], logprob=-9.519364), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-14.782945), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-17.682573), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.104311)])]"
"right","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Is Ronald right that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?","Betty asks: Is Ronald right that Mary is pregnant?","Does Betty believe that Mary is pregnant?","Does Betty believe that Mary is not pregnant?",0.5,-5.5122365e-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-5.5122365e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-5.5122365e-07), TopLogprob(token='1', bytes=[49], logprob=-14.632455), TopLogprob(token='.', bytes=[46], logprob=-19.061749), TopLogprob(token='-', bytes=[45], logprob=-19.340881), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.524685)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-18.550915), TopLogprob(token='\n', bytes=[10], logprob=-18.55267), TopLogprob(token='<|end|>', bytes=None, logprob=-20.468517), TopLogprob(token='-', bytes=[45], logprob=-21.015238)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.025900437, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.025900437), TopLogprob(token='50', bytes=[53, 48], logprob=-3.7853303), TopLogprob(token='6', bytes=[54], logprob=-7.0039277), TopLogprob(token='4', bytes=[52], logprob=-7.306248), TopLogprob(token='51', bytes=[53, 49], logprob=-8.209136)])]"
"confess","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jeffrey confess that Mary is pregnant? Question: Does Tyler believe that Mary is pregnant?","Tyler asks: Did Jeffrey confess that Mary is pregnant?","Does Tyler believe that Mary is pregnant?","Does Tyler believe that Mary is not pregnant?",0.5,-6.8616515e-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-6.8616515e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-6.8616515e-05), TopLogprob(token='1', bytes=[49], logprob=-9.587412), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.212984), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.43418), TopLogprob(token='-', bytes=[45], logprob=-18.49549)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.259077), TopLogprob(token='\n', bytes=[10], logprob=-17.929218), TopLogprob(token='..', bytes=[46, 46], logprob=-20.54168), TopLogprob(token='<|end|>', bytes=None, logprob=-20.568108)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-1.5373669, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-1.5373669), TopLogprob(token='75', bytes=[55, 53], logprob=-1.5749378), TopLogprob(token='7', bytes=[55], logprob=-2.1439457), TopLogprob(token='8', bytes=[56], logprob=-2.183958), TopLogprob(token='85', bytes=[56, 53], logprob=-2.6005077)])]"
"confirm","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: George asks: Did Stephanie confirm that Mary is pregnant? Question: Does George believe that Mary is pregnant?","George asks: Did Stephanie confirm that Mary is pregnant?","Does George believe that Mary is pregnant?","Does George believe that Mary is not pregnant?",0.5,-3.650519e-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.650519e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-3.650519e-06), TopLogprob(token='1', bytes=[49], logprob=-12.52964), TopLogprob(token='-', bytes=[45], logprob=-18.910292), TopLogprob(token='.', bytes=[46], logprob=-19.06305), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-19.161522)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.76153), TopLogprob(token='\n', bytes=[10], logprob=-17.84871), TopLogprob(token='<|end|>', bytes=None, logprob=-20.26935), TopLogprob(token='-', bytes=[45], logprob=-20.852684)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.65983474, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.65983474), TopLogprob(token='75', bytes=[55, 53], logprob=-1.8569382), TopLogprob(token='7', bytes=[55], logprob=-2.457488), TopLogprob(token='8', bytes=[56], logprob=-2.8541594), TopLogprob(token='6', bytes=[54], logprob=-3.1693583)])]"
"demonstrate","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy demonstrate that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?","Betty asks: Did Timothy demonstrate that Mary is pregnant?","Does Betty believe that Mary is pregnant?","Does Betty believe that Mary is not pregnant?",0.75,-3.6073914e-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.6073914e-05, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-3.6073914e-05), TopLogprob(token='1', bytes=[49], logprob=-10.233686), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.379631), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.507402), TopLogprob(token='-', bytes=[45], logprob=-18.788773)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.461605), TopLogprob(token='\n', bytes=[10], logprob=-18.12505), TopLogprob(token='<|end|>', bytes=None, logprob=-20.147945), TopLogprob(token='-', bytes=[45], logprob=-20.907932)]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-1.5623735, top_logprobs=[TopLogprob(token='75', bytes=[55, 53], logprob=-1.5623735), TopLogprob(token='5', bytes=[53], logprob=-1.6833376), TopLogprob(token='7', bytes=[55], logprob=-1.8737253), TopLogprob(token='8', bytes=[56], logprob=-2.4663997), TopLogprob(token='6', bytes=[54], logprob=-2.6784587)])]"
"discover","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Laura discover that Mary is pregnant? Question: Does Scott believe that Mary is pregnant?","Scott asks: Did Laura discover that Mary is pregnant?","Does Scott believe that Mary is pregnant?","Does Scott believe that Mary is not pregnant?",0.5,-0.0003093639,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0003093639, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0003093639), TopLogprob(token='1', bytes=[49], logprob=-8.082693), TopLogprob(token='No', bytes=[78, 111], logprob=-15.46862), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-16.63084), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.64745)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-3.1281633e-07), TopLogprob(token='<|end|>', bytes=None, logprob=-15.350237), TopLogprob(token=',', bytes=[44], logprob=-20.071785), TopLogprob(token='\n', bytes=[10], logprob=-20.321335), TopLogprob(token='-', bytes=[45], logprob=-22.629992)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.24691014, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.24691014), TopLogprob(token='50', bytes=[53, 48], logprob=-2.5691433), TopLogprob(token='75', bytes=[55, 53], logprob=-3.436325), TopLogprob(token='8', bytes=[56], logprob=-3.8019829), TopLogprob(token='9', bytes=[57], logprob=-3.818222)])]"
"establish","p","high_prior","Mary","Mary is taking a prenatal yoga class.","Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Michelle establish that Mary is pregnant? Question: Does Edward believe that Mary is pregnant?","Edward asks: Did Michelle establish that Mary is pregnant?","Does Edward believe that Mary is pregnant?","Does Edward believe that Mary is not pregnant?",0.5,-6.704273e-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-6.704273e-07), TopLogprob(token='1', bytes=[49], logprob=-14.381967), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-19.103657), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.136715), TopLogprob(token='-', bytes=[45], logprob=-19.338604)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-18.455627), TopLogprob(token='\n', bytes=[10], logprob=-18.874233), TopLogprob(token='<|end|>', bytes=None, logprob=-20.868622), TopLogprob(token='-', bytes=[45], logprob=-21.409199)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.11426571, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-0.11426571), TopLogprob(token='50', bytes=[53, 48], logprob=-2.4717982), TopLogprob(token='6', bytes=[54], logprob=-4.936711), TopLogprob(token='4', bytes=[52], logprob=-5.5268674), TopLogprob(token='75', bytes=[55, 53], logprob=-6.15857)])]"
