"","item","prob","polarity","predicate","prior_type","model"
"1","Frank",0.846676464911988,"Embedded: not p","know","low_prior","RSA"
"2","Josie",0.566614442468987,"Embedded: not p","think","low_prior","RSA"
"3","Julian",0.512030402485985,"Embedded: p","think","low_prior","RSA"
"4","Grace",0.62350349241209,"Embedded: p","think","high_prior","RSA"
"5","Jayden",0.34638621640831,"Polar","Polar","low_prior","RSA"
"6","Danny",0.65779268451918,"Polar","Polar","high_prior","RSA"
"7","Jon",0.669584315898309,"Embedded: not p","know","high_prior","RSA"
"8","Emma",0.908751712297074,"Embedded: p","know","high_prior","RSA"
"9","Charley",0.358382842861131,"Embedded: not p","think","high_prior","RSA"
"10","Mary",0.774882192453373,"Embedded: p","know","low_prior","RSA"
"11","Mary",0.633134056221876,"Embedded: p","think","high_prior","RSA"
"12","Olivia",0.364512484871807,"Polar","Polar","low_prior","RSA"
"13","Tony",0.387242689771796,"Embedded: not p","think","high_prior","RSA"
"14","Emma",0.687656720854043,"Embedded: not p","know","high_prior","RSA"
"15","Danny",0.793244415151083,"Embedded: p","know","low_prior","RSA"
"16","Josh",0.537942558298006,"Embedded: not p","think","low_prior","RSA"
"17","Jackson",0.929199527536147,"Embedded: p","know","high_prior","RSA"
"18","Frank",0.64140753906817,"Polar","Polar","high_prior","RSA"
"19","Jon",0.832304917456687,"Embedded: not p","know","low_prior","RSA"
"20","Tony",0.679480041893739,"Embedded: not p","know","high_prior","RSA"
"21","Isabella",0.329591698431467,"Polar","Polar","low_prior","RSA"
"22","Jon",0.777786744689603,"Embedded: p","know","low_prior","RSA"
"23","Danny",0.401974065514199,"Embedded: not p","think","high_prior","RSA"
"24","Emily",0.460696522107381,"Embedded: p","think","low_prior","RSA"
"25","Grace",0.532647110379104,"Embedded: not p","think","low_prior","RSA"
"26","Josh",0.864909062468497,"Embedded: p","know","high_prior","RSA"
"27","Julian",0.609149749752249,"Polar","Polar","high_prior","RSA"
"28","Zoe",0.842108781731802,"Embedded: not p","know","low_prior","RSA"
"29","Frank",0.589110471783344,"Embedded: p","think","high_prior","RSA"
"30","Emma",0.519289156510016,"Embedded: not p","think","low_prior","RSA"
"31","Isabella",0.857698129478627,"Embedded: p","know","high_prior","RSA"
"32","Jackson",0.770234041899312,"Embedded: p","know","low_prior","RSA"
"33","Owen",0.667797817608604,"Embedded: not p","know","high_prior","RSA"
"34","Julian",0.426553794111174,"Embedded: not p","think","high_prior","RSA"
"35","Josie",0.852290157407245,"Embedded: not p","know","low_prior","RSA"
"36","Mary",0.366434273434811,"Polar","Polar","low_prior","RSA"
"37","Zoe",0.615988046840862,"Embedded: p","think","high_prior","RSA"
"38","Tony",0.68694586847065,"Polar","Polar","high_prior","RSA"
"39","Josie",0.683104997977293,"Embedded: not p","know","high_prior","RSA"
"40","Emma",0.395729838987534,"Embedded: not p","think","high_prior","RSA"
"41","Danny",0.408093452854084,"Polar","Polar","low_prior","RSA"
"42","Emily",0.554939610034294,"Embedded: p","think","high_prior","RSA"
"43","Olivia",0.666998187892091,"Polar","Polar","high_prior","RSA"
"44","Owen",0.534405970833969,"Embedded: not p","think","low_prior","RSA"
"45","Jayden",0.462112984279308,"Embedded: p","think","low_prior","RSA"
"46","Olivia",0.689191061431847,"Embedded: not p","know","high_prior","RSA"
"47","Charley",0.941328848358449,"Embedded: p","know","high_prior","RSA"
"48","Mary",0.54920018793493,"Embedded: not p","think","low_prior","RSA"
"49","Grace",0.369881107445943,"Embedded: not p","think","high_prior","RSA"
"50","Emma",0.806696088049592,"Embedded: not p","know","low_prior","RSA"
"51","Jon",0.373023958394728,"Polar","Polar","low_prior","RSA"
"52","Owen",0.619043173398518,"Embedded: p","think","high_prior","RSA"
"53","Olivia",0.60012644878099,"Embedded: p","think","high_prior","RSA"
"54","Emily",0.861094083859978,"Embedded: p","know","high_prior","RSA"
"55","Charley",0.809924112696674,"Embedded: not p","know","low_prior","RSA"
"56","Emma",0.42562778099017,"Polar","Polar","low_prior","RSA"
"57","Jackson",0.665072516445571,"Embedded: not p","know","high_prior","RSA"
"58","Grace",0.721304193998748,"Polar","Polar","high_prior","RSA"
"59","Tony",0.551637682237358,"Embedded: not p","think","low_prior","RSA"
"60","Emily",0.34309570608663,"Polar","Polar","low_prior","RSA"
"61","Mary",0.358576192382117,"Embedded: not p","think","high_prior","RSA"
"62","Zoe",0.923603776532413,"Embedded: p","know","high_prior","RSA"
"63","Charley",0.493369666037776,"Embedded: p","think","low_prior","RSA"
"64","Julian",0.817157801180682,"Embedded: p","know","low_prior","RSA"
"65","Isabella",0.551623041073792,"Embedded: p","think","high_prior","RSA"
"66","Jayden",0.845272822765902,"Embedded: not p","know","low_prior","RSA"
"67","Grace",0.819565391696516,"Embedded: not p","know","low_prior","RSA"
"68","Owen",0.926732030623498,"Embedded: p","know","high_prior","RSA"
"69","Emma",0.670149920377507,"Polar","Polar","high_prior","RSA"
"70","Josh",0.558665407915288,"Embedded: p","think","high_prior","RSA"
"71","Julian",0.500734693840989,"Embedded: not p","think","low_prior","RSA"
"72","Mary",0.470743048197226,"Embedded: p","think","low_prior","RSA"
"73","Olivia",0.550171285619019,"Embedded: not p","think","low_prior","RSA"
"74","Mary",0.743676460796805,"Polar","Polar","high_prior","RSA"
