"workerid","predicate","polarity","utterance","item","speaker_response","ah_response","prior_rating"
247,"know","neg","know-doesnt_dance-?","Frank_L",0.03,0.42,0.16965034965035
247,"think","neg","think-doesnt_dance-?","Josie_L",0.96,0.46,0.117286821705426
247,"say","pos","say-dances-?","Emily_H",0.5,0.48,0.561555555555556
247,"think","pos","think-dances-?","Julian_L",0.19,0.44,0.401796875
247,"think","pos","think-dances-?","Grace_H",0.11,0.52,0.790144927536232
247,"Polar","Polar","BARE-dances-?","Jayden_L",0.15,NA,0.1756
247,"Polar","Polar","BARE-dances-?","Danny_H",0.66,NA,0.697062937062937
247,"say","neg","say-doesnt_dance-?","Owen_H",0.29,0.22,0.74648275862069
247,"know","neg","know-doesnt_dance-?","Jon_H",0.61,0.37,0.7559375
247,"inform","pos","inform-dances-?","Josh_H",0.73,0.78,0.544575163398693
247,"know","pos","know-dances-?","Emma_H",0.96,0.73,0.680763888888889
247,"inform","neg","inform-doesnt_dance-?","Jackson_H",0.91,0.49,0.774965034965035
247,"inform","neg","inform-doesnt_dance-?","Tony_L",0.97,0.88,0.2196
247,"inform","pos","inform-dances-?","Zoe_L",0.86,0.27,0.192108843537415
247,"say","pos","say-dances-?","Olivia_L",0.06,0.32,0.210592105263158
247,"think","neg","think-doesnt_dance-?","Charley_H",0.16,0.47,0.804632352941177
247,"know","pos","know-dances-?","Mary_L",0.98,0.26,0.225401459854015
247,"say","neg","say-doesnt_dance-?","Isabella_L",0.93,0.46,0.125813953488372
548,"think","pos","think-dances-?","Mary_H",0.71,0.49,0.815167785234899
548,"inform","pos","inform-dances-?","Emily_L",0.99,1,0.151655629139073
548,"inform","pos","inform-dances-?","Josie_H",0.99,0.99,0.73343949044586
548,"Polar","Polar","BARE-dances-?","Olivia_L",0.34,NA,0.210592105263158
548,"think","neg","think-doesnt_dance-?","Tony_H",0.33,0.23,0.747279411764706
548,"know","neg","know-doesnt_dance-?","Emma_H",0.98,0.38,0.680763888888889
548,"say","neg","say-doesnt_dance-?","Zoe_H",0.23,0.77,0.745971223021583
548,"inform","neg","inform-doesnt_dance-?","Grace_H",0.99,0.99,0.790144927536232
548,"know","pos","know-dances-?","Danny_L",0.99,0.27,0.27993006993007
548,"inform","neg","inform-doesnt_dance-?","Owen_L",0.98,0.98,0.279503546099291
548,"think","pos","think-dances-?","Julian_L",0.47,0.47,0.401796875
548,"say","neg","say-doesnt_dance-?","Isabella_L",0.48,0.77,0.125813953488372
548,"think","neg","think-doesnt_dance-?","Josh_L",0.33,0.81,0.236917293233083
548,"say","pos","say-dances-?","Jayden_H",0.5,0.74,0.687794117647059
548,"know","pos","know-dances-?","Jackson_H",0.98,0.34,0.774965034965035
548,"say","pos","say-dances-?","Charley_L",0.49,0.82,0.277066666666667
548,"Polar","Polar","BARE-dances-?","Frank_H",0.8,NA,0.67972027972028
548,"know","neg","know-doesnt_dance-?","Jon_L",0.99,0.36,0.235696202531646
551,"know","neg","know-doesnt_dance-?","Tony_H",0.9,0.82,0.747279411764706
551,"inform","neg","inform-doesnt_dance-?","Charley_L",0.53,0.45,0.277066666666667
551,"Polar","Polar","BARE-dances-?","Isabella_L",0.54,NA,0.125813953488372
551,"know","pos","know-dances-?","Jon_L",0.43,0.45,0.235696202531646
551,"think","neg","think-doesnt_dance-?","Danny_H",0.39,0.45,0.697062937062937
551,"inform","pos","inform-dances-?","Jayden_H",0.44,0.48,0.687794117647059
551,"say","pos","say-dances-?","Emma_H",0.45,0.41,0.680763888888889
551,"think","pos","think-dances-?","Emily_L",0.42,0.36,0.151655629139073
551,"think","neg","think-doesnt_dance-?","Grace_L",0.51,0.41,0.24777027027027
551,"inform","pos","inform-dances-?","Josie_L",0.47,0.48,0.117286821705426
551,"say","pos","say-dances-?","Olivia_L",0.43,0.39,0.210592105263158
551,"inform","neg","inform-doesnt_dance-?","Mary_H",0.46,0.45,0.815167785234899
551,"know","pos","know-dances-?","Josh_H",0.59,0.47,0.544575163398693
551,"Polar","Polar","BARE-dances-?","Julian_H",0.45,NA,0.599493670886076
551,"say","neg","say-doesnt_dance-?","Owen_H",0.49,0.48,0.74648275862069
551,"know","neg","know-doesnt_dance-?","Zoe_L",0.47,0.46,0.192108843537415
551,"say","neg","say-doesnt_dance-?","Jackson_L",0.45,0.45,0.186013986013986
551,"think","pos","think-dances-?","Frank_H",0.43,0.49,0.67972027972028
386,"say","neg","say-doesnt_dance-?","Jon_L",0.58,0.78,0.235696202531646
386,"inform","pos","inform-dances-?","Olivia_L",0.61,0.81,0.210592105263158
386,"think","neg","think-doesnt_dance-?","Emma_L",0.26,0.67,0.323098591549296
386,"think","pos","think-dances-?","Emily_L",0.1,0.33,0.151655629139073
386,"inform","neg","inform-doesnt_dance-?","Danny_L",0.89,0.91,0.27993006993007
386,"know","pos","know-dances-?","Isabella_H",0.96,0.48,0.517707006369427
386,"know","pos","know-dances-?","Jackson_L",0.66,0.25,0.186013986013986
386,"inform","neg","inform-doesnt_dance-?","Jayden_H",0.93,0.49,0.687794117647059
386,"say","neg","say-doesnt_dance-?","Charley_H",0.27,0.72,0.804632352941177
386,"inform","pos","inform-dances-?","Josh_H",1,0.31,0.544575163398693
386,"know","neg","know-doesnt_dance-?","Owen_H",0.97,0.37,0.74648275862069
386,"think","neg","think-doesnt_dance-?","Julian_H",0.27,0.69,0.599493670886076
386,"say","pos","say-dances-?","Frank_L",0.27,0.13,0.16965034965035
386,"know","neg","know-doesnt_dance-?","Josie_L",0.99,0.9,0.117286821705426
386,"say","pos","say-dances-?","Grace_H",0.67,0.83,0.790144927536232
386,"Polar","Polar","BARE-dances-?","Mary_L",0.5,NA,0.225401459854015
386,"think","pos","think-dances-?","Zoe_H",0.45,0.68,0.745971223021583
386,"Polar","Polar","BARE-dances-?","Tony_H",0.57,NA,0.747279411764706
236,"say","pos","say-dances-?","Charley_L",0.67,0.49,0.277066666666667
236,"inform","neg","inform-doesnt_dance-?","Julian_H",0.88,0.93,0.599493670886076
236,"know","neg","know-doesnt_dance-?","Josie_H",0.89,0.5,0.73343949044586
236,"inform","pos","inform-dances-?","Grace_H",0.83,0.88,0.790144927536232
