verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Donna asks: Did Nicholas acknowledge that Mary is pregnant? Question: Does Donna believe that Mary isn't pregnant?,Donna asks: Did Nicholas acknowledge that Mary is pregnant?,Does Donna believe that Mary is pregnant?,Does Donna believe that Mary isn't pregnant?,0.1,-0.9538940902926499,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-1.9361265e-07), TopLogprob(token='1', bytes=[49], logprob=-16.119486), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-18.853443), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-19.5867), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-19.743713)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00013035668, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00013035668), TopLogprob(token='<|end|>', bytes=None, logprob=-8.945886), TopLogprob(token='\n', bytes=[10], logprob=-20.237083), TopLogprob(token='<|end|>', bytes=None, logprob=-21.860662), TopLogprob(token=',', bytes=[44], logprob=-23.54866)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.95376354, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.95376354), TopLogprob(token='05', bytes=[48, 53], logprob=-1.7162223), TopLogprob(token='01', bytes=[48, 49], logprob=-2.1831183), TopLogprob(token='10', bytes=[49, 48], logprob=-2.2174716), TopLogprob(token='2', bytes=[50], logprob=-2.6470065)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Paul asks: Did Melissa admit that Mary is pregnant? Question: Does Paul believe that Mary isn't pregnant?,Paul asks: Did Melissa admit that Mary is pregnant?,Does Paul believe that Mary is pregnant?,Does Paul believe that Mary isn't pregnant?,0.25,-1.967011289631,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-7.89631e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-7.89631e-07), TopLogprob(token='1', bytes=[49], logprob=-14.22655), TopLogprob(token='-', bytes=[45], logprob=-19.237331), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-19.298615), TopLogprob(token='.', bytes=[46], logprob=-19.543802)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token='<|end|>', bytes=None, logprob=-17.118046), TopLogprob(token=',', bytes=[44], logprob=-20.238995), TopLogprob(token='\n', bytes=[10], logprob=-22.003216), TopLogprob(token='-', bytes=[45], logprob=-22.525703)]), ChatCompletionTokenLogprob(token='25', bytes=[50, 53], logprob=-1.9670105, top_logprobs=[TopLogprob(token='25', bytes=[50, 53], logprob=-1.9670105), TopLogprob(token='4', bytes=[52], logprob=-1.977562), TopLogprob(token='2', bytes=[50], logprob=-1.9791222), TopLogprob(token='3', bytes=[51], logprob=-2.3734856), TopLogprob(token='35', bytes=[51, 53], logprob=-2.8975677)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Ronald announce that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Ronald announce that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?,0.2,-1.38373146404,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-4.3202e-07), TopLogprob(token='1', bytes=[49], logprob=-14.960804), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.913368), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-19.009659), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.408817)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-4.3202e-07), TopLogprob(token='<|end|>', bytes=None, logprob=-14.98344), TopLogprob(token=',', bytes=[44], logprob=-22.304548), TopLogprob(token='\n', bytes=[10], logprob=-24.391897), TopLogprob(token='+', bytes=[43], logprob=-25.207924)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.3837306, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.3837306), TopLogprob(token='25', bytes=[50, 53], logprob=-1.4131229), TopLogprob(token='20', bytes=[50, 48], logprob=-1.7493446), TopLogprob(token='30', bytes=[51, 48], logprob=-2.9617603), TopLogprob(token='3', bytes=[51], logprob=-2.965617)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Emily annoyed that Mary is pregnant? Question: Does Kevin believe that Mary isn't pregnant?,Kevin asks: Is Emily annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary isn't pregnant?,0,0.0,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=0.0, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=0.0), TopLogprob(token='1', bytes=[49], logprob=-16.95761), TopLogprob(token='No', bytes=[78, 111], logprob=-17.800407), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-17.906183), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-19.237167)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Sandra asks: Is Michelle right that Mary is pregnant? Question: Does Sandra believe that Mary isn't pregnant?,Sandra asks: Is Michelle right that Mary is pregnant?,Does Sandra believe that Mary is pregnant?,Does Sandra believe that Mary isn't pregnant?,0.5,-1.0058614664457002,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.2664457e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-1.2664457e-06), TopLogprob(token='1', bytes=[49], logprob=-13.621358), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.554213), TopLogprob(token='-', bytes=[45], logprob=-18.627108), TopLogprob(token='.', bytes=[46], logprob=-18.835814)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-17.730068), TopLogprob(token='\n', bytes=[10], logprob=-18.76524), TopLogprob(token='-', bytes=[45], logprob=-20.329222), TopLogprob(token='<|end|>', bytes=None, logprob=-20.511818)]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-1.0058602, top_logprobs=[TopLogprob(token='5', bytes=[53], logprob=-1.0058602), TopLogprob(token='6', bytes=[54], logprob=-1.7281884), TopLogprob(token='7', bytes=[55], logprob=-2.3607397), TopLogprob(token='75', bytes=[55, 53], logprob=-2.512601), TopLogprob(token='50', bytes=[53, 48], logprob=-2.6853533)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Amanda confess that Mary is pregnant? Question: Does Edward believe that Mary isn't pregnant?,Edward asks: Did Amanda confess that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary isn't pregnant?,0.2,-1.8021741361682,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.6968896e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-2.6968896e-06), TopLogprob(token='1', bytes=[49], logprob=-12.859378), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.80469), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.812502), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-18.937502)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-2.3392786e-06, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-2.3392786e-06), TopLogprob(token='<|end|>', bytes=None, logprob=-13.015627), TopLogprob(token=',', bytes=[44], logprob=-21.390627), TopLogprob(token='\n', bytes=[10], logprob=-23.562502), TopLogprob(token='<|end|>', bytes=None, logprob=-23.640627)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.8021691, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.8021691), TopLogprob(token='25', bytes=[50, 53], logprob=-1.8490441), TopLogprob(token='20', bytes=[50, 48], logprob=-2.208419), TopLogprob(token='75', bytes=[55, 53], logprob=-2.724044), TopLogprob(token='3', bytes=[51], logprob=-2.895919)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Jason confirm that Mary is pregnant? Question: Does Kathleen believe that Mary isn't pregnant?,Kathleen asks: Did Jason confirm that Mary is pregnant?,Does Kathleen believe that Mary is pregnant?,Does Kathleen believe that Mary isn't pregnant?,0.25,-1.39286633202,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-4.3202e-07), TopLogprob(token='1', bytes=[49], logprob=-14.922916), TopLogprob(token='No', bytes=[78, 111], logprob=-19.297592), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-19.330189), TopLogprob(token='-', bytes=[45], logprob=-19.388844)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token='<|end|>', bytes=None, logprob=-18.393658), TopLogprob(token=',', bytes=[44], logprob=-19.306385), TopLogprob(token='\n', bytes=[10], logprob=-20.216518), TopLogprob(token='-', bytes=[45], logprob=-21.514843)]), ChatCompletionTokenLogprob(token='25', bytes=[50, 53], logprob=-1.3928659, top_logprobs=[TopLogprob(token='25', bytes=[50, 53], logprob=-1.3928659), TopLogprob(token='2', bytes=[50], logprob=-2.1141527), TopLogprob(token='3', bytes=[51], logprob=-2.1864183), TopLogprob(token='4', bytes=[52], logprob=-2.3038023), TopLogprob(token='35', bytes=[51, 53], logprob=-2.7398927)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jacob demonstrate that Mary is pregnant? Question: Does Tyler believe that Mary isn't pregnant?,Tyler asks: Did Jacob demonstrate that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary isn't pregnant?,0.6,-1.8308766240566001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.6240566e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-1.6240566e-06), TopLogprob(token='1', bytes=[49], logprob=-13.39382), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.464813), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-18.678194), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.689667)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token='<|end|>', bytes=None, logprob=-17.4085), TopLogprob(token=',', bytes=[44], logprob=-19.442604), TopLogprob(token='\n', bytes=[10], logprob=-20.005709), TopLogprob(token='-', bytes=[45], logprob=-21.567316)]), ChatCompletionTokenLogprob(token='6', bytes=[54], logprob=-1.830875, top_logprobs=[TopLogprob(token='6', bytes=[54], logprob=-1.830875), TopLogprob(token='4', bytes=[52], logprob=-2.1800056), TopLogprob(token='75', bytes=[55, 53], logprob=-2.2150722), TopLogprob(token='7', bytes=[55], logprob=-2.222156), TopLogprob(token='70', bytes=[55, 48], logprob=-2.5954661)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Stephanie discover that Mary is pregnant? Question: Does Scott believe that Mary isn't pregnant?,Scott asks: Did Stephanie discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary isn't pregnant?,0.2,-1.18350780033314,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-9.0883464e-07, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-9.0883464e-07), TopLogprob(token='1', bytes=[49], logprob=-13.9922285), TopLogprob(token='No', bytes=[78, 111], logprob=-18.339787), TopLogprob(token='From', bytes=[70, 114, 111, 109], logprob=-18.659454), TopLogprob(token='Based', bytes=[66, 97, 115, 101, 100], logprob=-18.818382)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-9.4914985e-06, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-9.4914985e-06), TopLogprob(token='<|end|>', bytes=None, logprob=-11.577524), TopLogprob(token=',', bytes=[44], logprob=-22.050552), TopLogprob(token='\n', bytes=[10], logprob=-22.439829), TopLogprob(token='<|end|>', bytes=None, logprob=-23.469435)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.1834974, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.1834974), TopLogprob(token='20', bytes=[50, 48], logprob=-1.6843519), TopLogprob(token='25', bytes=[50, 53], logprob=-2.0292616), TopLogprob(token='1', bytes=[49], logprob=-2.0923967), TopLogprob(token='10', bytes=[49, 48], logprob=-3.0710382)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy establish that Mary is pregnant? Question: Does Betty believe that Mary isn't pregnant?,Betty asks: Did Timothy establish that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary isn't pregnant?,0.7,-1.6831929929079,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.2929079e-06, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-3.2929079e-06), TopLogprob(token='1', bytes=[49], logprob=-12.643714), TopLogprob(token='No', bytes=[78, 111], logprob=-18.68289), TopLogprob(token='-', bytes=[45], logprob=-18.692907), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.965965)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=0.0), TopLogprob(token=',', bytes=[44], logprob=-18.799324), TopLogprob(token='<|end|>', bytes=None, logprob=-19.111507), TopLogprob(token='\n', bytes=[10], logprob=-19.679707), TopLogprob(token='-', bytes=[45], logprob=-20.852108)]), ChatCompletionTokenLogprob(token='7', bytes=[55], logprob=-1.6831897, top_logprobs=[TopLogprob(token='7', bytes=[55], logprob=-1.6831897), TopLogprob(token='6', bytes=[54], logprob=-1.6905502), TopLogprob(token='75', bytes=[55, 53], logprob=-2.0069146), TopLogprob(token='70', bytes=[55, 48], logprob=-2.1188684), TopLogprob(token='8', bytes=[56], logprob=-2.4594293)])]"
