embedded,prior_type,item,embedded_content,prior,background,prompt,rating,distribution,raw_probs
p,high_prior,Mary,Mary is pregnant,Mary is taking a prenatal yoga class.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Mary is taking a prenatal yoga class. Question: How likely is it that Mary is pregnant?",0.95,-0.00800962,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00800962, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-0.30908707, top_logprobs=[])]"
p,low_prior,Josie,Josie went on vacation to France,Josie doesn't have a passport,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Josie doesn't have a passport Question: How likely is it that Josie went on vacation to France?",0.1,-0.001136762,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0011367622, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0008033146, top_logprobs=[]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-0.55874634, top_logprobs=[])]"
p,high_prior,Emma,Emma studied on Saturday morning,Emma is in law school.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emma is in law school. Question: How likely is it that Emma studied on Saturday morning?",0.8,-0.000807368,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0008073675, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='8', bytes=[56], logprob=-0.4280848, top_logprobs=[])]"
p,high_prior,Julian,Julian dances salsa,Julian is Cuban.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Julian is Cuban. Question: How likely is it that Julian dances salsa?",0.8,-0.021012088,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.021012088, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.5122365e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='8', bytes=[56], logprob=-0.9586857, top_logprobs=[])]"
p,high_prior,Isabella,Isabella ate a steak on Sunday,Isabella is from Argentina.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Isabella is from Argentina. Question: How likely is it that Isabella ate a steak on Sunday?",0.8,-0.013171294,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.013171294, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='8', bytes=[56], logprob=-0.65273976, top_logprobs=[])]"
p,high_prior,Emily,Emily bought a car yesterday,Emily has been saving for a year.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emily has been saving for a year. Question: How likely is it that Emily bought a car yesterday?",0.05,-0.001251777,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0012517773, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00011081461, top_logprobs=[]), ChatCompletionTokenLogprob(token='05', bytes=[48, 53], logprob=-0.17794417, top_logprobs=[])]"
p,high_prior,Danny,Danny ate the last cupcake,Danny loves cake.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Danny loves cake. Question: How likely is it that Danny ate the last cupcake?",0.7,-0.08365515,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.08365515, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='7', bytes=[55], logprob=-0.95353496, top_logprobs=[])]"
p,high_prior,Grace,Grace visited her sister,Grace loves her sister.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Grace loves her sister. Question: How likely is it that Grace visited her sister?",0.8,-0.21543562,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.21543562, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='8', bytes=[56], logprob=-0.61593336, top_logprobs=[])]"
p,high_prior,Zoe,Zoe calculated the tip,Zoe is a math major.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Zoe is a math major. Question: How likely is it that Zoe calculated the tip?",0.9,-0.002972353,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0029723532, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.5122365e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='9', bytes=[57], logprob=-1.2835506, top_logprobs=[])]"
p,high_prior,Frank,Frank got a cat,Frank has always wanted a pet.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Frank has always wanted a pet. Question: How likely is it that Frank got a cat?",0.8,-0.13445622,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.13445622, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='8', bytes=[56], logprob=-0.625703, top_logprobs=[])]"
