verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Did Ryan acknowledge that Mary is pregnant? Question: Does Daniel believe that Mary is pregnant?,Daniel asks: Did Ryan acknowledge that Mary is pregnant?,Does Daniel believe that Mary is pregnant?,Does Daniel believe that Mary is not pregnant?
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Laura admit that Mary is pregnant? Question: Does Cynthia believe that Mary is pregnant?,Cynthia asks: Did Laura admit that Mary is pregnant?,Does Cynthia believe that Mary is pregnant?,Does Cynthia believe that Mary is not pregnant?
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Brian asks: Did Jeffrey announce that Mary is pregnant? Question: Does Brian believe that Mary is pregnant?,Brian asks: Did Jeffrey announce that Mary is pregnant?,Does Brian believe that Mary is pregnant?,Does Brian believe that Mary is not pregnant?
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kevin asks: Is Jason annoyed that Mary is pregnant? Question: Does Kevin believe that Mary is pregnant?,Kevin asks: Is Jason annoyed that Mary is pregnant?,Does Kevin believe that Mary is pregnant?,Does Kevin believe that Mary is not pregnant?
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Is Ronald right that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Is Ronald right that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Jeffrey confess that Mary is pregnant? Question: Does Tyler believe that Mary is pregnant?,Tyler asks: Did Jeffrey confess that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary is not pregnant?
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: George asks: Did Stephanie confirm that Mary is pregnant? Question: Does George believe that Mary is pregnant?,George asks: Did Stephanie confirm that Mary is pregnant?,Does George believe that Mary is pregnant?,Does George believe that Mary is not pregnant?
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Timothy demonstrate that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Did Timothy demonstrate that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Laura discover that Mary is pregnant? Question: Does Scott believe that Mary is pregnant?,Scott asks: Did Laura discover that Mary is pregnant?,Does Scott believe that Mary is pregnant?,Does Scott believe that Mary is not pregnant?
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Edward asks: Did Michelle establish that Mary is pregnant? Question: Does Edward believe that Mary is pregnant?,Edward asks: Did Michelle establish that Mary is pregnant?,Does Edward believe that Mary is pregnant?,Does Edward believe that Mary is not pregnant?
hear,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Larry asks: Did Timothy hear that Mary is pregnant? Question: Does Larry believe that Mary is pregnant?,Larry asks: Did Timothy hear that Mary is pregnant?,Does Larry believe that Mary is pregnant?,Does Larry believe that Mary is not pregnant?
inform,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Larry asks: Did Nicholas inform Jane that Mary is pregnant? Question: Does Larry believe that Mary is pregnant?,Larry asks: Did Nicholas inform Jane that Mary is pregnant?,Does Larry believe that Mary is pregnant?,Does Larry believe that Mary is not pregnant?
know,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Donna asks: Does Deborah know that Mary is pregnant? Question: Does Donna believe that Mary is pregnant?,Donna asks: Does Deborah know that Mary is pregnant?,Does Donna believe that Mary is pregnant?,Does Donna believe that Mary is not pregnant?
pretend,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Cynthia asks: Did Michelle pretend that Mary is pregnant? Question: Does Cynthia believe that Mary is pregnant?,Cynthia asks: Did Michelle pretend that Mary is pregnant?,Does Cynthia believe that Mary is pregnant?,Does Cynthia believe that Mary is not pregnant?
prove,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Jeffrey prove that Mary is pregnant? Question: Does Betty believe that Mary is pregnant?,Betty asks: Did Jeffrey prove that Mary is pregnant?,Does Betty believe that Mary is pregnant?,Does Betty believe that Mary is not pregnant?
reveal,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Sandra asks: Did Ronald reveal that Mary is pregnant? Question: Does Sandra believe that Mary is pregnant?,Sandra asks: Did Ronald reveal that Mary is pregnant?,Does Sandra believe that Mary is pregnant?,Does Sandra believe that Mary is not pregnant?
say,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Carol say that Mary is pregnant? Question: Does Kathleen believe that Mary is pregnant?,Kathleen asks: Did Carol say that Mary is pregnant?,Does Kathleen believe that Mary is pregnant?,Does Kathleen believe that Mary is not pregnant?
see,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Tyler asks: Did Stephanie see that Mary is pregnant? Question: Does Tyler believe that Mary is pregnant?,Tyler asks: Did Stephanie see that Mary is pregnant?,Does Tyler believe that Mary is pregnant?,Does Tyler believe that Mary is not pregnant?
suggest,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Dorothy asks: Did Sharon suggest that Mary is pregnant? Question: Does Dorothy believe that Mary is pregnant?,Dorothy asks: Did Sharon suggest that Mary is pregnant?,Does Dorothy believe that Mary is pregnant?,Does Dorothy believe that Mary is not pregnant?
think,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Does Nicholas think that Mary is pregnant? Question: Does Ashley believe that Mary is pregnant?,Ashley asks: Does Nicholas think that Mary is pregnant?,Does Ashley believe that Mary is pregnant?,Does Ashley believe that Mary is not pregnant?
polar,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Daniel asks: Is Mary pregnant? Question: Does Daniel believe that Mary is pregnant?,Daniel asks: Is Mary pregnant?,Does Daniel believe that Mary is pregnant?,
acknowledge,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Brian asks: Did Timothy acknowledge that Josie went on vacation to France? Question: Does Brian believe that Josie went on vacation to France?,Brian asks: Did Timothy acknowledge that Josie went on vacation to France?,Does Brian believe that Josie went on vacation to France?,Does Brian believe that Josie didn't go on vacation to France?
admit,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Brian asks: Did Eric admit that Josie went on vacation to France? Question: Does Brian believe that Josie went on vacation to France?,Brian asks: Did Eric admit that Josie went on vacation to France?,Does Brian believe that Josie went on vacation to France?,Does Brian believe that Josie didn't go on vacation to France?
announce,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Brian asks: Did Rebecca announce that Josie went on vacation to France? Question: Does Brian believe that Josie went on vacation to France?,Brian asks: Did Rebecca announce that Josie went on vacation to France?,Does Brian believe that Josie went on vacation to France?,Does Brian believe that Josie didn't go on vacation to France?
annoyed,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Ashley asks: Is Rebecca annoyed that Josie went on vacation to France? Question: Does Ashley believe that Josie went on vacation to France?,Ashley asks: Is Rebecca annoyed that Josie went on vacation to France?,Does Ashley believe that Josie went on vacation to France?,Does Ashley believe that Josie didn't go on vacation to France?
right,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Cynthia asks: Is Ryan right that Josie went on vacation to France? Question: Does Cynthia believe that Josie went on vacation to France?,Cynthia asks: Is Ryan right that Josie went on vacation to France?,Does Cynthia believe that Josie went on vacation to France?,Does Cynthia believe that Josie didn't go on vacation to France?
confess,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Christopher asks: Did Ryan confess that Josie went on vacation to France? Question: Does Christopher believe that Josie went on vacation to France?,Christopher asks: Did Ryan confess that Josie went on vacation to France?,Does Christopher believe that Josie went on vacation to France?,Does Christopher believe that Josie didn't go on vacation to France?
