verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question,rating,output_probs,raw_probs
acknowledge,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Carol acknowledge that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Carol acknowledge that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?,1,-0.20142339,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.20142339, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.20142339), TopLogprob(token='0', bytes=[48], logprob=-1.7014234), TopLogprob(token=' ', bytes=[32], logprob=-13.076424), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-13.201424), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-13.826424)])]"
admit,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Laura admit that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Laura admit that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?,0.2,-1.7645175234700001,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.038046658, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.038046658), TopLogprob(token='1', bytes=[49], logprob=-3.2880466), TopLogprob(token=' ', bytes=[32], logprob=-12.788047), TopLogprob(token='-', bytes=[45], logprob=-14.288047), TopLogprob(token='###', bytes=[35, 35, 35], logprob=-15.538047)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00033796547, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00033796547), TopLogprob(token='<|end|>', bytes=None, logprob=-8.000338), TopLogprob(token='<|end|>', bytes=None, logprob=-13.875338), TopLogprob(token=',', bytes=[44], logprob=-14.125338), TopLogprob(token='\n', bytes=[10], logprob=-16.625338)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.7261329, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.7261329), TopLogprob(token='1', bytes=[49], logprob=-2.6011329), TopLogprob(token='10', bytes=[49, 48], logprob=-2.8511329), TopLogprob(token='3', bytes=[51], logprob=-2.9761329), TopLogprob(token='05', bytes=[48, 53], logprob=-2.9761329)])]"
announce,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Did Emily announce that Mary is pregnant? Question: Is Scott certain that Mary is pregnant?,Scott asks: Did Emily announce that Mary is pregnant?,Is Scott certain that Mary is pregnant?,Is Scott certain that Mary isn't pregnant?,0.9,-1.99327743724,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.029758587, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.029758587), TopLogprob(token='1', bytes=[49], logprob=-3.5297587), TopLogprob(token=' ', bytes=[32], logprob=-12.154758), TopLogprob(token='-', bytes=[45], logprob=-14.029758), TopLogprob(token='```', bytes=[96, 96, 96], logprob=-15.654758)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00033725024, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00033725024), TopLogprob(token='<|end|>', bytes=None, logprob=-8.000338), TopLogprob(token=',', bytes=[44], logprob=-14.500338), TopLogprob(token='<|end|>', bytes=None, logprob=-14.500338), TopLogprob(token='<|end|>', bytes=None, logprob=-16.375338)]), ChatCompletionTokenLogprob(token='9', bytes=[57], logprob=-1.9631816, top_logprobs=[TopLogprob(token='9', bytes=[57], logprob=-1.9631816), TopLogprob(token='8', bytes=[56], logprob=-2.0881815), TopLogprob(token='2', bytes=[50], logprob=-2.2131815), TopLogprob(token='95', bytes=[57, 53], logprob=-2.3381815), TopLogprob(token='85', bytes=[56, 53], logprob=-2.4631815)])]"
annoyed,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Is Michelle annoyed that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Is Michelle annoyed that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?,1,-0.28117034,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.28117034, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.28117034), TopLogprob(token='0', bytes=[48], logprob=-1.4061704), TopLogprob(token=' ', bytes=[32], logprob=-12.40617), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-12.65617), TopLogprob(token='<|end|>', bytes=None, logprob=-13.15617)])]"
right,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kimberly asks: Is Gary right that Mary is pregnant? Question: Is Kimberly certain that Mary is pregnant?,Kimberly asks: Is Gary right that Mary is pregnant?,Is Kimberly certain that Mary is pregnant?,Is Kimberly certain that Mary isn't pregnant?,0.2,-0.935177231415,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0005564896, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0005564896), TopLogprob(token='1', bytes=[49], logprob=-7.5005565), TopLogprob(token=' ', bytes=[32], logprob=-13.625557), TopLogprob(token='-', bytes=[45], logprob=-14.750557), TopLogprob(token='```', bytes=[96, 96, 96], logprob=-15.375557)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.8841815e-05, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-5.8841815e-05), TopLogprob(token='<|end|>', bytes=None, logprob=-9.750059), TopLogprob(token=',', bytes=[44], logprob=-15.250059), TopLogprob(token='<|end|>', bytes=None, logprob=-16.37506), TopLogprob(token='\u200b.', bytes=[226, 128, 139, 46], logprob=-17.12506)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.9345619, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.9345619), TopLogprob(token='1', bytes=[49], logprob=-1.934562), TopLogprob(token='20', bytes=[50, 48], logprob=-2.559562), TopLogprob(token='15', bytes=[49, 53], logprob=-2.559562), TopLogprob(token='10', bytes=[49, 48], logprob=-2.559562)])]"
confess,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kathleen asks: Did Michelle confess that Mary is pregnant? Question: Is Kathleen certain that Mary is pregnant?,Kathleen asks: Did Michelle confess that Mary is pregnant?,Is Kathleen certain that Mary is pregnant?,Is Kathleen certain that Mary isn't pregnant?,0.9,-2.1663778691399997,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.12693693, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.12693693), TopLogprob(token='1', bytes=[49], logprob=-2.126937), TopLogprob(token=' ', bytes=[32], logprob=-12.126937), TopLogprob(token='-', bytes=[45], logprob=-14.376937), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-15.001937)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00071433914, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00071433914), TopLogprob(token='<|end|>', bytes=None, logprob=-7.2507143), TopLogprob(token='<|end|>', bytes=None, logprob=-13.125714), TopLogprob(token=',', bytes=[44], logprob=-13.625714), TopLogprob(token='<|end|>', bytes=None, logprob=-15.875714)]), ChatCompletionTokenLogprob(token='9', bytes=[57], logprob=-2.0387266, top_logprobs=[TopLogprob(token='9', bytes=[57], logprob=-2.0387266), TopLogprob(token='95', bytes=[57, 53], logprob=-2.0387266), TopLogprob(token='90', bytes=[57, 48], logprob=-2.1637266), TopLogprob(token='85', bytes=[56, 53], logprob=-2.2887266), TopLogprob(token='8', bytes=[56], logprob=-2.4137266)])]"
confirm,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Nancy asks: Did Ryan confirm that Mary is pregnant? Question: Is Nancy certain that Mary is pregnant?,Nancy asks: Did Ryan confirm that Mary is pregnant?,Is Nancy certain that Mary is pregnant?,Is Nancy certain that Mary isn't pregnant?,0.20,-1.19205023734,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0028078447, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0028078447), TopLogprob(token='1', bytes=[49], logprob=-5.8778076), TopLogprob(token=' ', bytes=[32], logprob=-13.252808), TopLogprob(token='-', bytes=[45], logprob=-15.127808), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-16.252808)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00033689264, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00033689264), TopLogprob(token='<|end|>', bytes=None, logprob=-8.000337), TopLogprob(token='<|end|>', bytes=None, logprob=-14.750337), TopLogprob(token=',', bytes=[44], logprob=-14.750337), TopLogprob(token='<|end|>', bytes=None, logprob=-16.625338)]), ChatCompletionTokenLogprob(token='20', bytes=[50, 48], logprob=-1.1889055, top_logprobs=[TopLogprob(token='20', bytes=[50, 48], logprob=-1.1889055), TopLogprob(token='2', bytes=[50], logprob=-1.6889055), TopLogprob(token='10', bytes=[49, 48], logprob=-1.6889055), TopLogprob(token='30', bytes=[51, 48], logprob=-2.3139055), TopLogprob(token='3', bytes=[51], logprob=-2.8139055)])]"
demonstrate,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kenneth asks: Did Deborah demonstrate that Mary is pregnant? Question: Is Kenneth certain that Mary is pregnant?,Kenneth asks: Did Deborah demonstrate that Mary is pregnant?,Is Kenneth certain that Mary is pregnant?,Is Kenneth certain that Mary isn't pregnant?,0.2,-1.3428593346,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0046222536, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.0046222536), TopLogprob(token='1', bytes=[49], logprob=-5.3796225), TopLogprob(token=' ', bytes=[32], logprob=-13.879622), TopLogprob(token='-', bytes=[45], logprob=-15.879622), TopLogprob(token='Given', bytes=[71, 105, 118, 101, 110], logprob=-16.254622)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.002482081, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.002482081), TopLogprob(token='<|end|>', bytes=None, logprob=-6.002482), TopLogprob(token='<|end|>', bytes=None, logprob=-12.252482), TopLogprob(token=',', bytes=[44], logprob=-15.002482), TopLogprob(token='<|end|>', bytes=None, logprob=-15.002482)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.335755, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.335755), TopLogprob(token='1', bytes=[49], logprob=-2.5857549), TopLogprob(token='15', bytes=[49, 53], logprob=-2.5857549), TopLogprob(token='3', bytes=[51], logprob=-2.7107549), TopLogprob(token='05', bytes=[48, 53], logprob=-2.7107549)])]"
discover,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Ashley asks: Did Jeffrey discover that Mary is pregnant? Question: Is Ashley certain that Mary is pregnant?,Ashley asks: Did Jeffrey discover that Mary is pregnant?,Is Ashley certain that Mary is pregnant?,Is Ashley certain that Mary isn't pregnant?,1,-0.4287164,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.4287164, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.4287164), TopLogprob(token='0', bytes=[48], logprob=-1.0537164), TopLogprob(token='Yes', bytes=[89, 101, 115], logprob=-12.053717), TopLogprob(token=' ', bytes=[32], logprob=-12.178717), TopLogprob(token='-', bytes=[45], logprob=-14.803717)])]"
establish,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Lisa asks: Did Laura establish that Mary is pregnant? Question: Is Lisa certain that Mary is pregnant?,Lisa asks: Did Laura establish that Mary is pregnant?,Is Lisa certain that Mary is pregnant?,Is Lisa certain that Mary isn't pregnant?,0.10,-1.67276796209,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00023464888, top_logprobs=[TopLogprob(token='0', bytes=[48], logprob=-0.00023464888), TopLogprob(token='1', bytes=[49], logprob=-8.375235), TopLogprob(token=' ', bytes=[32], logprob=-12.875235), TopLogprob(token='-', bytes=[45], logprob=-15.500235), TopLogprob(token='###', bytes=[35, 35, 35], logprob=-15.875235)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00020461321, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.00020461321), TopLogprob(token='<|end|>', bytes=None, logprob=-8.500205), TopLogprob(token=',', bytes=[44], logprob=-14.875205), TopLogprob(token='<|end|>', bytes=None, logprob=-15.250205), TopLogprob(token='।', bytes=[224, 165, 164], logprob=-17.000204)]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.6723287, top_logprobs=[TopLogprob(token='10', bytes=[49, 48], logprob=-1.6723287), TopLogprob(token='20', bytes=[50, 48], logprob=-1.7973287), TopLogprob(token='2', bytes=[50], logprob=-1.9223287), TopLogprob(token='15', bytes=[49, 53], logprob=-2.2973287), TopLogprob(token='1', bytes=[49], logprob=-2.9223287)])]"
